district,sample,day,time,predicted,true
马鞍村1社,0,Day1,00:00,1.2992,1.731
马鞍村1社,0,Day1,00:15,1.4317,1.488
马鞍村1社,0,Day1,00:30,1.6305,1.7205
马鞍村1社,0,Day1,00:45,1.2246,1.566
马鞍村1社,0,Day1,01:00,1.195,1.449
马鞍村1社,0,Day1,01:15,1.4776,1.3185
马鞍村1社,0,Day1,01:30,1.3887,1.3815
马鞍村1社,0,Day1,01:45,1.4798,1.377
马鞍村1社,0,Day1,02:00,1.1459,0.9855
马鞍村1社,0,Day1,02:15,1.5037,1.2285
马鞍村1社,0,Day1,02:30,1.2415,0.9615
马鞍村1社,0,Day1,02:45,1.0914,1.188
马鞍村1社,0,Day1,03:00,0.7938,1.0365
马鞍村1社,0,Day1,03:15,1.1701,1.1775
马鞍村1社,0,Day1,03:30,1.0288,0.879
马鞍村1社,0,Day1,03:45,0.8996,1.317
马鞍村1社,0,Day1,04:00,1.3791,0.8655
马鞍村1社,0,Day1,04:15,1.4452,0.8775
马鞍村1社,0,Day1,04:30,1.0739,0.807
马鞍村1社,0,Day1,04:45,1.1191,0.777
马鞍村1社,0,Day1,05:00,0.8612,0.7275
马鞍村1社,0,Day1,05:15,0.9868,0.5775
马鞍村1社,0,Day1,05:30,1.1882,0.7785
马鞍村1社,0,Day1,05:45,1.2917,0.951
马鞍村1社,0,Day1,06:00,1.1892,1.413
马鞍村1社,0,Day1,06:15,0.9164,1.0335
马鞍村1社,0,Day1,06:30,1.0404,0.792
马鞍村1社,0,Day1,06:45,1.2977,1.0575
马鞍村1社,0,Day1,07:00,1.3992,1.011
马鞍村1社,0,Day1,07:15,1.6954,1.0365
马鞍村1社,0,Day1,07:30,2.1835,1.095
马鞍村1社,0,Day1,07:45,3.2763,2.22
马鞍村1社,0,Day1,08:00,4.3871,4.683
马鞍村1社,0,Day1,08:15,4.9526,4.206
马鞍村1社,0,Day1,08:30,6.192,7.224
马鞍村1社,0,Day1,08:45,6.7396,6.5535
马鞍村1社,0,Day1,09:00,5.8207,6.9345
马鞍村1社,0,Day1,09:15,5.5488,10.818
马鞍村1社,0,Day1,09:30,5.0988,5.766
马鞍村1社,0,Day1,09:45,5.5122,4.2075
马鞍村1社,0,Day1,10:00,4.2518,5.862
马鞍村1社,0,Day1,10:15,3.8767,8.091
马鞍村1社,0,Day1,10:30,3.4645,6.291
马鞍村1社,0,Day1,10:45,2.855,2.976
马鞍村1社,0,Day1,11:00,2.4346,2.31
马鞍村1社,0,Day1,11:15,2.4851,1.7955
马鞍村1社,0,Day1,11:30,2.4854,2.868
马鞍村1社,0,Day1,11:45,2.4012,7.4655
马鞍村1社,0,Day1,12:00,2.6358,6.951
马鞍村1社,0,Day1,12:15,2.4017,2.7645
马鞍村1社,0,Day1,12:30,2.4985,4.4025
马鞍村1社,0,Day1,12:45,2.4873,4.608
马鞍村1社,0,Day1,13:00,2.498,3.4695
马鞍村1社,0,Day1,13:15,2.5029,3.9195
马鞍村1社,0,Day1,13:30,2.958,7.02
马鞍村1社,0,Day1,13:45,2.611,4.8285
马鞍村1社,0,Day1,14:00,2.9016,1.1985
马鞍村1社,0,Day1,14:15,2.3171,2.8725
马鞍村1社,0,Day1,14:30,2.3321,1.9125
马鞍村1社,0,Day1,14:45,2.6098,2.781
马鞍村1社,0,Day1,15:00,2.7703,3.4815
马鞍村1社,0,Day1,15:15,3.1568,2.3895
马鞍村1社,0,Day1,15:30,3.3203,4.8255
马鞍村1社,0,Day1,15:45,2.8284,4.5945
马鞍村1社,0,Day1,16:00,3.6541,4.4145
马鞍村1社,0,Day1,16:15,4.5467,3.453
马鞍村1社,0,Day1,16:30,4.6195,3.777
马鞍村1社,0,Day1,16:45,4.577,3.0495
马鞍村1社,0,Day1,17:00,5.5188,1.7865
马鞍村1社,0,Day1,17:15,5.2387,5.364
马鞍村1社,0,Day1,17:30,5.6564,4.512
马鞍村1社,0,Day1,17:45,5.1016,4.428
马鞍村1社,0,Day1,18:00,5.408,3.651
马鞍村1社,0,Day1,18:15,5.1002,2.1705
马鞍村1社,0,Day1,18:30,4.2128,2.9325
马鞍村1社,0,Day1,18:45,3.9485,4.11
马鞍村1社,0,Day1,19:00,4.0232,7.248
马鞍村1社,0,Day1,19:15,3.5829,2.235
马鞍村1社,0,Day1,19:30,3.0414,2.8905
马鞍村1社,0,Day1,19:45,2.8791,2.6925
马鞍村1社,0,Day1,20:00,3.4301,2.8575
马鞍村1社,0,Day1,20:15,3.5972,4.758
马鞍村1社,0,Day1,20:30,2.7016,4.6185
马鞍村1社,0,Day1,20:45,2.7024,3.126
马鞍村1社,0,Day1,21:00,2.7726,4.6515
马鞍村1社,0,Day1,21:15,2.6524,4.5705
马鞍村1社,0,Day1,21:30,2.7958,2.802
马鞍村1社,0,Day1,21:45,2.7558,2.6385
马鞍村1社,0,Day1,22:00,2.1286,2.739
马鞍村1社,0,Day1,22:15,2.3975,2.556
马鞍村1社,0,Day1,22:30,1.9389,2.349
马鞍村1社,0,Day1,22:45,2.1373,1.4985
马鞍村1社,0,Day1,23:00,2.1587,1.5645
马鞍村1社,0,Day1,23:15,1.4261,1.1265
马鞍村1社,0,Day1,23:30,1.7975,1.1505
马鞍村1社,0,Day1,23:45,1.5144,1.3635
马鞍村1社,1,Day1,00:00,1.1362,1.311
马鞍村1社,1,Day1,00:15,1.4899,2.7315
马鞍村1社,1,Day1,00:30,1.4356,1.3365
马鞍村1社,1,Day1,00:45,1.3608,1.2375
马鞍村1社,1,Day1,01:00,1.2744,1.2315
马鞍村1社,1,Day1,01:15,1.3332,2.553
马鞍村1社,1,Day1,01:30,1.4464,0.849
马鞍村1社,1,Day1,01:45,1.4554,1.4925
马鞍村1社,1,Day1,02:00,0.986,1.134
马鞍村1社,1,Day1,02:15,1.2905,1.2615
马鞍村1社,1,Day1,02:30,1.2378,1.323
马鞍村1社,1,Day1,02:45,1.1851,1.7325
马鞍村1社,1,Day1,03:00,0.8608,1.0425
马鞍村1社,1,Day1,03:15,1.079,0.975
马鞍村1社,1,Day1,03:30,1.1397,0.927
马鞍村1社,1,Day1,03:45,0.8633,1.32
马鞍村1社,1,Day1,04:00,1.3057,1.2045
马鞍村1社,1,Day1,04:15,1.4425,1.017
马鞍村1社,1,Day1,04:30,0.9273,1.35
马鞍村1社,1,Day1,04:45,1.1815,1.134
马鞍村1社,1,Day1,05:00,0.8272,1.164
