epoch,train_loss,train_mae_norm,val_loss,val_mae_norm,lr
1,0.02594653,0.26631934,0.01027635,0.12995058,0.0009998904513956854
2,0.01592579,0.17688579,0.00655968,0.09013575,0.00099956185363438
3,0.01311225,0.15046644,0.0058866,0.08365915,0.0009990143508499217
4,0.0105108,0.12696786,0.00555098,0.07948747,0.0009982481831951274
5,0.00862427,0.10952382,0.00557725,0.07779854,0.0009972636867364526
6,0.00751227,0.0987313,0.00553225,0.07771324,0.0009960612933065818
7,0.0066949,0.09112802,0.00544228,0.07705103,0.0009946415303150127
8,0.00594641,0.08441044,0.00542552,0.07703199,0.0009930050205167172
9,0.00562679,0.08082481,0.00540006,0.0763809,0.00099115248173898
10,0.00509597,0.07570889,0.00544878,0.07651998,0.0009890847265665358
11,0.00500827,0.07383513,0.00566682,0.07840873,0.0009868026619851433
12,0.00483044,0.07244076,0.005621,0.07776529,0.000984307288983751
13,0.00476819,0.07116322,0.00544612,0.0760802,0.0009815997021154301
14,0.00458927,0.06958485,0.00533926,0.0747215,0.0009786810890172674
15,0.00444505,0.06768211,0.00558845,0.07659671,0.0009755527298894293
16,0.00429392,0.06589262,0.00583196,0.07869016,0.0009722159969336218
17,0.00418104,0.06521743,0.00550621,0.07536156,0.0009686723537511998
18,0.00409762,0.06462168,0.00526084,0.07297624,0.0009649233547011815
19,0.00415386,0.06448006,0.00516877,0.0722162,0.0009609706442184559
20,0.00402252,0.06343805,0.00524239,0.07308738,0.000956815956092479
21,0.00397607,0.06245273,0.00538691,0.0745478,0.0009524611127067767
22,0.00414978,0.06362051,0.00532119,0.07386974,0.0009479080242395866
23,0.00388967,0.06160838,0.00507298,0.0714106,0.0009431586878259915
24,0.00380518,0.0606301,0.00530989,0.07341328,0.0009382151866819096
25,0.0038902,0.06109266,0.00538499,0.07397368,0.0009330796891903268
26,0.00387204,0.06054159,0.00498828,0.07006677,0.0009277544479501729
27,0.00390519,0.06119011,0.0047203,0.06780992,0.0009222417987882563
28,0.0037397,0.0597188,0.00494423,0.06984212,0.0009165441597346945
29,0.00365698,0.05877352,0.00499567,0.07047059,0.000910664029962285
30,0.00377801,0.05901271,0.0047379,0.068256,0.000904603988690286
31,0.00379944,0.06058408,0.00445937,0.06586005,0.0008983666940530858
32,0.00371457,0.0592948,0.00465765,0.067335,0.0008919548819342568
33,0.00372465,0.0587276,0.00474816,0.06795703,0.0008853713647665065
34,0.00363277,0.05808758,0.00438457,0.06483842,0.0008786190302980521
35,0.00358545,0.05743403,0.00432129,0.06437977,0.0008717008403259583
36,0.00368029,0.05869074,0.00440574,0.06519832,0.0008646198293969948
37,0.00364268,0.0582896,0.00454696,0.06648117,0.0008573791034765851
38,0.00368876,0.0582323,0.00461236,0.06705871,0.000849981838586426
39,0.00358115,0.05724934,0.00447044,0.06593189,0.0008424312794113799
40,0.00360008,0.05778168,0.00454113,0.06637625,0.0008347307378762496
41,0.00369914,0.05817021,0.00464172,0.06708401,0.0008268835916930577
42,0.00351048,0.05636392,0.00443217,0.06513899,0.0008188932828794705
43,0.00357894,0.05733643,0.004351,0.06446583,0.0008107633162490161
44,0.0036092,0.05770693,0.00447932,0.06552199,0.0008024972578737563
45,0.00356288,0.05689372,0.00453209,0.06602041,0.0007940987335200903
46,0.00353118,0.05666355,0.00445908,0.06553409,0.0007855714270583738
47,0.00357138,0.0568794,0.00438824,0.06500277,0.0007769190788470505
48,0.00353128,0.05650701,0.00440095,0.06510578,0.0007681454840920089
49,0.00350803,0.05601691,0.0043465,0.06466915,0.0007592544911818787
50,0.00350836,0.05640305,0.00443621,0.0654082,0.0007502500000000002
51,0.00350494,0.05609941,0.00449941,0.06593455,0.0007411359602138069
52,0.00343683,0.05519683,0.00442351,0.06529924,0.0007319163695423711
53,0.00347053,0.05581231,0.00434543,0.06473766,0.0007225952720028713
54,0.00351277,0.05597692,0.00450558,0.06593857,0.0007131767561367538
55,0.00348008,0.05569059,0.00442658,0.06522091,0.0007036649532163622
56,0.00342251,0.05544329,0.00427257,0.06397943,0.0006940640354328254
57,0.00340288,0.05523751,0.00431691,0.06437981,0.0006843782140659967
58,0.00348555,0.0556909,0.00442371,0.06534972,0.0006746117376372467
59,0.00355731,0.05622176,0.00441919,0.06530051,0.0006647688900459223
60,0.00348862,0.05557595,0.00429758,0.06418119,0.0006548539886902863
61,0.00343351,0.05524963,0.00419637,0.06322517,0.0006448713825737636
62,0.00346774,0.05590104,0.00420339,0.06319319,0.0006348254503973252
63,0.00344206,0.05544446,0.00433559,0.06427325,0.0006247205986388449
64,0.00334408,0.05424681,0.00429328,0.06397757,0.0006145612596202726
65,0.00336775,0.05443013,0.0042358,0.06359087,0.0006043518895634708
66,0.00333309,0.05426961,0.00426994,0.06389727,0.0005940969666355695
67,0.00339341,0.05464135,0.00430143,0.06420384,0.000583800988984693
68,0.00341074,0.0551111,0.00424041,0.06370303,0.0005734684727669245
69,0.00333641,0.05400688,0.00427949,0.06386825,0.0005631039501653698
70,0.00329479,0.05349124,0.004286,0.06378572,0.0005527119674021929
71,0.00330257,0.05348305,0.00423268,0.06331431,0.0005422970827444914
72,0.00333261,0.05408969,0.00421326,0.06315932,0.000531863864504892
73,0.0033427,0.05417911,0.004215,0.06319568,0.0005214168890377352
74,0.00328608,0.05319519,0.00430774,0.06395417,0.0005109607387317367
75,0.00339986,0.05437098,0.00428173,0.06371378,0.0005004999999999999
76,0.0034083,0.05480921,0.00418969,0.06309345,0.0004900392612682633
77,0.00337883,0.05474041,0.00417591,0.06319807,0.00047958311096226466
78,0.00338851,0.05465912,0.00421351,0.06351385,0.00046913613549510796
79,0.00337152,0.05420915,0.00426144,0.06381383,0.00045870291725550827
80,0.00328782,0.05322076,0.00425254,0.06373423,0.0004482880325978071
81,0.00330959,0.05367049,0.00420835,0.06332795,0.00043789604983463
82,0.00330848,0.05350619,0.00414289,0.06283275,0.0004275315272330755
83,0.00332777,0.05366571,0.00415625,0.06291108,0.00041719901101530676
84,0.00331612,0.05378878,0.00418365,0.06306104,0.0004069030333644305
85,0.00322777,0.05297812,0.0042113,0.06327812,0.0003966481104365291
86,0.00332584,0.05377213,0.00420856,0.06327408,0.0003864387403797275
87,0.00326732,0.05304038,0.00418343,0.06311906,0.00037627940136115507
88,0.00320953,0.05254774,0.00417003,0.06308454,0.0003661745496026749
89,0.00323298,0.05286931,0.00418454,0.06323715,0.00035612861742623627
90,0.00325469,0.05305364,0.00420205,0.06342568,0.0003461460113097137
91,0.00321254,0.05237477,0.00422851,0.06352295,0.0003362311099540776
92,0.00324911,0.05263742,0.00422642,0.06340716,0.00032638826236275337
93,0.00320212,0.05255924,0.00419785,0.0631863,0.0003166217859340035
94,0.00324474,0.05299137,0.00418057,0.06305686,0.0003069359645671746
95,0.00318894,0.0522321,0.00417209,0.06296744,0.0002973350467836378
96,0.003268,0.05313173,0.00417563,0.062981,0.00028782324386324626
97,0.00318656,0.0523626,0.00416699,0.06284607,0.0002784047279971289
98,0.00326402,0.05308482,0.00416547,0.06281658,0.00026908363045762923
99,0.00323792,0.05243719,0.00414895,0.06272725,0.00025986403978619317
100,0.00328001,0.05342801,0.00416197,0.06284172,0.0002507499999999999
101,0.00314893,0.05194862,0.00417232,0.06299521,0.0002417455088181215
102,0.00332714,0.0533431,0.00417639,0.06309188,0.00023285451590799124
103,0.0031584,0.05212557,0.00418191,0.06317955,0.00022408092115294964
104,0.00320096,0.05261853,0.00419117,0.06328984,0.00021542857294162636
105,0.00324929,0.05320277,0.00418882,0.06324368,0.00020690126647990968
106,0.00325232,0.05265681,0.00418936,0.06316294,0.00019850274212624374
107,0.00330448,0.05341895,0.00418913,0.06309486,0.00019023668375098399
