district,sample,day,time,predicted,true
马鞍村1社,0,Day1,00:00,0.034,0.0461
马鞍村1社,0,Day1,00:15,0.0364,0.0284
马鞍村1社,0,Day1,00:30,0.0372,0.0335
马鞍村1社,0,Day1,00:45,0.0311,0.032
马鞍村1社,0,Day1,01:00,0.0352,0.0614
马鞍村1社,0,Day1,01:15,0.0325,0.0302
马鞍村1社,0,Day1,01:30,0.032,0.0368
马鞍村1社,0,Day1,01:45,0.0329,0.0319
马鞍村1社,0,Day1,02:00,0.0331,0.0338
马鞍村1社,0,Day1,02:15,0.0367,0.0741
马鞍村1社,0,Day1,02:30,0.0302,0.0313
马鞍村1社,0,Day1,02:45,0.0328,0.0371
马鞍村1社,0,Day1,03:00,0.0313,0.0321
马鞍村1社,0,Day1,03:15,0.027,0.0372
马鞍村1社,0,Day1,03:30,0.0291,0.0369
马鞍村1社,0,Day1,03:45,0.0299,0.0372
马鞍村1社,0,Day1,04:00,0.0305,0.0244
马鞍村1社,0,Day1,04:15,0.0257,0.0298
马鞍村1社,0,Day1,04:30,0.0309,0.0336
马鞍村1社,0,Day1,04:45,0.0283,0.0344
马鞍村1社,0,Day1,05:00,0.0239,0.0301
马鞍村1社,0,Day1,05:15,0.0339,0.0262
马鞍村1社,0,Day1,05:30,0.0263,0.0322
马鞍村1社,0,Day1,05:45,0.0254,0.031
马鞍村1社,0,Day1,06:00,0.0271,0.0245
马鞍村1社,0,Day1,06:15,0.0277,0.0406
马鞍村1社,0,Day1,06:30,0.0294,0.023
马鞍村1社,0,Day1,06:45,0.0332,0.0357
马鞍村1社,0,Day1,07:00,0.0435,0.0245
马鞍村1社,0,Day1,07:15,0.0527,0.0395
马鞍村1社,0,Day1,07:30,0.0489,0.0367
马鞍村1社,0,Day1,07:45,0.0736,0.0681
马鞍村1社,0,Day1,08:00,0.0843,0.05
马鞍村1社,0,Day1,08:15,0.1037,0.0577
马鞍村1社,0,Day1,08:30,0.1121,0.096
马鞍村1社,0,Day1,08:45,0.1301,0.1249
马鞍村1社,0,Day1,09:00,0.1259,0.2032
马鞍村1社,0,Day1,09:15,0.1067,0.0404
马鞍村1社,0,Day1,09:30,0.0979,0.1574
马鞍村1社,0,Day1,09:45,0.0977,0.1418
马鞍村1社,0,Day1,10:00,0.08,0.1746
马鞍村1社,0,Day1,10:15,0.0742,0.2637
马鞍村1社,0,Day1,10:30,0.0643,0.161
马鞍村1社,0,Day1,10:45,0.0595,0.1177
马鞍村1社,0,Day1,11:00,0.0558,0.0334
马鞍村1社,0,Day1,11:15,0.0562,0.0345
马鞍村1社,0,Day1,11:30,0.0579,0.1249
马鞍村1社,0,Day1,11:45,0.0582,0.0504
马鞍村1社,0,Day1,12:00,0.064,0.0585
马鞍村1社,0,Day1,12:15,0.0636,0.0338
马鞍村1社,0,Day1,12:30,0.0672,0.0504
马鞍村1社,0,Day1,12:45,0.0587,0.043
马鞍村1社,0,Day1,13:00,0.0553,0.0546
马鞍村1社,0,Day1,13:15,0.0598,0.0628
马鞍村1社,0,Day1,13:30,0.0613,0.0706
