district,sample,day,time,predicted,true
马鞍村1社,0,Day1,00:00,0.8089,0.82
马鞍村1社,0,Day1,00:15,0.8025,0.917
马鞍村1社,0,Day1,00:30,0.7847,0.877
马鞍村1社,0,Day1,00:45,0.7939,0.839
马鞍村1社,0,Day1,01:00,0.7866,0.867
马鞍村1社,0,Day1,01:15,0.7854,0.873
马鞍村1社,0,Day1,01:30,0.7803,0.833
马鞍村1社,0,Day1,01:45,0.7692,0.826
马鞍村1社,0,Day1,02:00,0.769,0.854
马鞍村1社,0,Day1,02:15,0.7526,0.948
马鞍村1社,0,Day1,02:30,0.7666,0.846
马鞍村1社,0,Day1,02:45,0.7557,0.829
马鞍村1社,0,Day1,03:00,0.755,0.854
马鞍村1社,0,Day1,03:15,0.7466,0.808
马鞍村1社,0,Day1,03:30,0.7514,0.803
马鞍村1社,0,Day1,03:45,0.7547,0.828
马鞍村1社,0,Day1,04:00,0.7514,0.89
马鞍村1社,0,Day1,04:15,0.756,0.846
马鞍村1社,0,Day1,04:30,0.7576,0.843
马鞍村1社,0,Day1,04:45,0.7482,0.841
马鞍村1社,0,Day1,05:00,0.7615,0.884
马鞍村1社,0,Day1,05:15,0.7566,0.891
马鞍村1社,0,Day1,05:30,0.7552,0.833
马鞍村1社,0,Day1,05:45,0.7616,0.816
马鞍村1社,0,Day1,06:00,0.7752,0.813
马鞍村1社,0,Day1,06:15,0.7671,0.848
马鞍村1社,0,Day1,06:30,0.8008,0.819
马鞍村1社,0,Day1,06:45,0.8124,0.885
马鞍村1社,0,Day1,07:00,0.8459,0.845
马鞍村1社,0,Day1,07:15,0.8841,0.822
马鞍村1社,0,Day1,07:30,0.9102,0.87
马鞍村1社,0,Day1,07:45,0.9245,0.977
马鞍村1社,0,Day1,08:00,0.9577,0.905
马鞍村1社,0,Day1,08:15,0.9736,0.901
马鞍村1社,0,Day1,08:30,0.9813,0.978
马鞍村1社,0,Day1,08:45,0.985,0.994
马鞍村1社,0,Day1,09:00,0.9839,0.994
马鞍村1社,0,Day1,09:15,0.9519,0.928
马鞍村1社,0,Day1,09:30,0.9453,0.993
马鞍村1社,0,Day1,09:45,0.9318,0.99
马鞍村1社,0,Day1,10:00,0.9215,0.991
马鞍村1社,0,Day1,10:15,0.9056,0.998
马鞍村1社,0,Day1,10:30,0.8973,0.996
马鞍村1社,0,Day1,10:45,0.8823,0.985
马鞍村1社,0,Day1,11:00,0.8737,0.837
马鞍村1社,0,Day1,11:15,0.8741,0.806
马鞍村1社,0,Day1,11:30,0.8728,0.975
马鞍村1社,0,Day1,11:45,0.8764,0.943
马鞍村1社,0,Day1,12:00,0.8877,0.888
马鞍村1社,0,Day1,12:15,0.8917,0.747
马鞍村1社,0,Day1,12:30,0.8963,0.935
马鞍村1社,0,Day1,12:45,0.8721,0.845
马鞍村1社,0,Day1,13:00,0.8632,0.908
马鞍村1社,0,Day1,13:15,0.8715,0.853
马鞍村1社,0,Day1,13:30,0.8996,0.958
马鞍村1社,0,Day1,13:45,0.8701,0.757
马鞍村1社,0,Day1,14:00,0.8778,0.721
马鞍村1社,0,Day1,14:15,0.8694,0.759
马鞍村1社,0,Day1,14:30,0.8638,0.754
马鞍村1社,0,Day1,14:45,0.8815,0.922
马鞍村1社,0,Day1,15:00,0.8861,0.824
马鞍村1社,0,Day1,15:15,0.906,0.961
马鞍村1社,0,Day1,15:30,0.9189,0.995
马鞍村1社,0,Day1,15:45,0.9163,0.959
马鞍村1社,0,Day1,16:00,0.9237,0.875
马鞍村1社,0,Day1,16:15,0.9334,0.98
马鞍村1社,0,Day1,16:30,0.9416,0.947
马鞍村1社,0,Day1,16:45,0.9491,0.992
马鞍村1社,0,Day1,17:00,0.9517,0.969
马鞍村1社,0,Day1,17:15,0.9478,0.94
马鞍村1社,0,Day1,17:30,0.9606,0.998
马鞍村1社,0,Day1,17:45,0.9603,0.995
