district,sample,day,time,predicted,true
甘伍村3社,0,Day1,00:00,0.0189,0.0
甘伍村3社,0,Day1,00:15,0.0493,0.0
甘伍村3社,0,Day1,00:30,0.0365,0.0
甘伍村3社,0,Day1,00:45,0.0293,0.0
甘伍村3社,0,Day1,01:00,0.0406,0.0
甘伍村3社,0,Day1,01:15,0.0526,0.0
甘伍村3社,0,Day1,01:30,0.0144,0.0
甘伍村3社,0,Day1,01:45,0.0317,0.0
甘伍村3社,0,Day1,02:00,0.0105,0.0
甘伍村3社,0,Day1,02:15,0.0205,0.0
甘伍村3社,0,Day1,02:30,0.0345,0.0
甘伍村3社,0,Day1,02:45,0.0415,0.0
甘伍村3社,0,Day1,03:00,0.0325,0.0
甘伍村3社,0,Day1,03:15,0.0455,0.0
甘伍村3社,0,Day1,03:30,0.018,0.0
甘伍村3社,0,Day1,03:45,0.051,0.0
甘伍村3社,0,Day1,04:00,0.0448,0.0
甘伍村3社,0,Day1,04:15,0.0654,0.0
甘伍村3社,0,Day1,04:30,0.0609,0.0
甘伍村3社,0,Day1,04:45,0.0399,0.0
甘伍村3社,0,Day1,05:00,0.0297,0.0
甘伍村3社,0,Day1,05:15,0.0301,0.0
甘伍村3社,0,Day1,05:30,0.0365,0.0
甘伍村3社,0,Day1,05:45,0.0403,0.0
甘伍村3社,0,Day1,06:00,0.0608,0.0
甘伍村3社,0,Day1,06:15,0.0564,0.0
甘伍村3社,0,Day1,06:30,0.0359,0.0
甘伍村3社,0,Day1,06:45,0.0546,0.0
甘伍村3社,0,Day1,07:00,0.0797,0.0
甘伍村3社,0,Day1,07:15,0.0331,0.0
甘伍村3社,0,Day1,07:30,0.033,0.0
甘伍村3社,0,Day1,07:45,0.0818,0.0
甘伍村3社,0,Day1,08:00,0.0985,0.0
甘伍村3社,0,Day1,08:15,0.0654,0.0
甘伍村3社,0,Day1,08:30,0.0627,0.0
甘伍村3社,0,Day1,08:45,0.0769,0.0
甘伍村3社,0,Day1,09:00,0.1057,0.0
甘伍村3社,0,Day1,09:15,0.1075,0.0
甘伍村3社,0,Day1,09:30,0.0693,0.0
甘伍村3社,0,Day1,09:45,0.0674,0.0
甘伍村3社,0,Day1,10:00,0.0586,0.0
甘伍村3社,0,Day1,10:15,0.0888,0.0
甘伍村3社,0,Day1,10:30,0.128,0.0
甘伍村3社,0,Day1,10:45,0.1308,0.0
甘伍村3社,0,Day1,11:00,0.1237,0.0
甘伍村3社,0,Day1,11:15,0.1759,0.0
甘伍村3社,0,Day1,11:30,0.1805,0.0
甘伍村3社,0,Day1,11:45,0.1812,0.0
甘伍村3社,0,Day1,12:00,0.1539,0.0
甘伍村3社,0,Day1,12:15,0.1486,0.0
甘伍村3社,0,Day1,12:30,0.1048,0.0
甘伍村3社,0,Day1,12:45,0.1229,0.0
甘伍村3社,0,Day1,13:00,0.0785,0.0
甘伍村3社,0,Day1,13:15,0.0539,0.0
甘伍村3社,0,Day1,13:30,0.1081,0.0
甘伍村3社,0,Day1,13:45,0.0841,0.0
甘伍村3社,0,Day1,14:00,0.0693,0.0
甘伍村3社,0,Day1,14:15,0.0231,0.0
甘伍村3社,0,Day1,14:30,0.0465,0.0
甘伍村3社,0,Day1,14:45,0.0204,0.0
甘伍村3社,0,Day1,15:00,0.0369,0.0
甘伍村3社,0,Day1,15:15,0.0577,0.0
甘伍村3社,0,Day1,15:30,0.0298,0.0
甘伍村3社,0,Day1,15:45,0.0652,0.0
甘伍村3社,0,Day1,16:00,0.0529,0.0
甘伍村3社,0,Day1,16:15,0.07,0.0
甘伍村3社,0,Day1,16:30,0.014,0.0
甘伍村3社,0,Day1,16:45,0.0633,0.0
甘伍村3社,0,Day1,17:00,0.0744,0.0
甘伍村3社,0,Day1,17:15,0.065,0.0
甘伍村3社,0,Day1,17:30,0.0809,0.0
甘伍村3社,0,Day1,17:45,0.0758,0.0
甘伍村3社,0,Day1,18:00,0.0807,0.0
甘伍村3社,0,Day1,18:15,0.0457,0.0
甘伍村3社,0,Day1,18:30,0.063,0.0
甘伍村3社,0,Day1,18:45,0.0563,0.0
甘伍村3社,0,Day1,19:00,0.0405,0.0
甘伍村3社,0,Day1,19:15,0.0194,0.0
甘伍村3社,0,Day1,19:30,0.0414,0.0
甘伍村3社,0,Day1,19:45,0.0691,0.0
甘伍村3社,0,Day1,20:00,0.0692,0.0
甘伍村3社,0,Day1,20:15,0.024,0.0
甘伍村3社,0,Day1,20:30,0.0634,0.0
甘伍村3社,0,Day1,20:45,0.0488,0.0
甘伍村3社,0,Day1,21:00,0.0467,0.0
甘伍村3社,0,Day1,21:15,0.0313,0.0
