通信前置节点状态,采集前置节点状态,大数据集群正常节点数,大数据集群异常节点数,大数据内存使用率,大数据容量使用率,hive运行状态,hbase运行状态,yarn运行状态,spark运行状态,zookeeper运行状态,HDFS运行状态,flink运行状态,dolphinscheduler状态,大数据角色健康数,hive小文件占比,HDFS存储使用率,swap使用率,服务器正常主机数,服务器异常主机数,服务器cpu使用率,服务器内存使用率,服务器磁盘使用率,k8s节点正常数,k8s_cpu使用率,k8s内存使用率,k8s_cpu平均负载,k8s磁盘使用量,kafka正常运行数,kafka_lag超阈值数,redis当前连接数,redis最大连接数,redis运行状态,redis内存使用率,mysql运行状态,mysql连接数,mysql最大连接数,mysql慢sql数,oracle运行状态,oracle连接数,oracle最大连接数,oracle慢sql数,nacos运行状态,nacos长连接数,es磁盘内存使用率,es运行状态,调控任务状态,数据校核任务状态,数据路由任务状态,数据入库任务状态,重点微应用正常数,重点微应用预警数,重点微应用异常数,spark计算成功数,spark计算总数,flink计算成功数,flink计算总数,重点微服务正常数,重点微服务总数,终端在线率,采集成功率,电能示值曲线完整率,功率因数曲线完整率,采集覆盖率,电流完整率,电压完整率,异常标签,采集时间
1,1,10,0,37.58672100831524,32.58672100831524,1,1,1,1,1,1,1,1,10,7.350009629710582,37.58672100831524,49.72326626158387,21,0,70.57107365228103,74.10137306655521,34.35761237574924,12,21.22220020688867,37.796291280460295,1.8670538295217416,35.72414436134156,0,7,498,500,1,84.56988664024308,1,37,300,0,1,29,300,0,1,690,31.502903721413062,1,1,1,1,0,12,7,2,11,11,1,9,10,19,88.0346884033261,96.08381728690217,93.73410765904349,92.16763457380435,94.51734420166305,92.95087111642391,93.73410765904349,7,2025-02-06 23:30:00
1,1,10,0,45.89559380470757,40.89559380470757,1,1,1,1,1,1,1,1,9,2.2969210411492123,45.89559380470757,19.582981414972146,22,0,30.89559380470757,41.99155215251864,29.84939902520993,8,32.10250901972907,38.60822006558671,2.8166392919665793,43.3329984065334,3,0,118,500,1,35.89559380470757,1,56,300,0,1,44,300,0,1,236,38.62479468974934,1,1,1,1,1,19,0,0,13,12,9,8,19,15,91.35823752188303,97.27079911495822,95.63327858393316,94.54159822991645,96.17911876094152,95.0874384069248,95.63327858393316,3,2025-01-08 02:05:00
1,0,4,3,94.0552361537146,62.845105316099485,1,0,1,1,1,1,1,1,6,54.53575194432399,72.34016988752246,7.910117835831865,19,0,24.581206486429913,39.516787213281816,30.722882946142747,4,60.27242469270299,89.9205327015692,11.833974889676872,33.03240600433706,5,0,91,500,1,29.581206486429913,1,41,300,0,1,32,300,0,1,182,33.21246270265421,1,1,1,1,1,21,0,0,12,12,9,9,17,15,88.83248259457197,32.18639257658818,27.154080026263596,26.401650418473046,43.491101202953665,51.32620296309594,51.58174590492404,1,2025-01-31 02:20:00
1,1,11,0,37.09029220150581,32.09029220150581,1,1,1,1,1,1,1,1,12,9.370077217704129,37.09029220150581,1.8954930452818286,21,0,22.09029220150581,33.27907189852611,24.782779260508782,8,21.384007780992793,37.50723331395248,1.8103191087435215,38.05647054425,5,0,80,500,1,27.09029220150581,1,36,300,0,1,28,300,0,1,160,31.077393315576412,1,1,1,1,1,23,0,0,14,8,7,6,19,16,87.83611688060232,96.0128988859294,93.62063821748704,92.0257977718588,94.41805844030117,92.82321799467292,93.62063821748704,4,2025-01-04 20:50:00
1,1,7,2,78.68284031787006,66.24851420024363,1,1,1,1,1,1,1,1,8,40.82695437509915,42.61578337254745,19.413647859056756,19,0,27.615783372547448,36.87726141231357,39.90247322660028,10,30.45681786679927,41.44318211352183,2.441803814005423,32.777225274664374,4,0,104,500,1,32.61578337254745,1,48,300,0,1,38,300,0,1,208,35.81352860504067,1,1,0,1,1,20,0,0,2,8,6,8,20,20,90.04631334901897,50.65295837170304,67.36125457711078,58.31389817903538,76.65419900584169,66.95796495265637,64.0634818096089,4,2025-02-18 06:30:00
1,1,9,0,83.50700811023515,92.26758859744226,1,1,1,0,1,1,0,1,10,53.27396253931859,73.43071475400609,17.87607301081578,23,0,30.769829479703947,39.272069696296796,37.33389272281929,11,33.569590122896244,41.256912312528,2.80226622625188,36.112219668599934,4,3,117,500,1,35.769829479703944,1,56,300,0,1,44,300,0,1,235,70.60784325124088,1,1,1,0,0,22,0,0,0,14,1,6,18,15,91.30793179188157,97.25283278281485,95.60453245250376,94.5056655656297,96.15396589594079,95.05509900906672,95.60453245250376,0,2025-02-11 12:55:00
1,1,9,0,47.79774010859594,42.79774010859594,1,1,1,1,1,1,1,0,9,13.673086209372855,47.79774010859594,32.864363499756664,21,0,71.69496982755682,77.28707467539822,38.49411059915866,10,32.81905008197316,43.3970891356232,3.034027440982393,42.52162879993876,1,12,493,500,1,75.905970210435,1,60,300,0,1,48,300,0,1,438,40.25520580736794,1,0,1,1,0,15,6,1,9,10,0,9,14,20,92.11909604343838,97.54253430122799,96.06805488196478,95.08506860245598,96.5595480217192,95.57656174221039,96.06805488196478,1,2025-02-08 10:40:00
1,1,12,0,40.93789830102355,35.93789830102355,1,1,1,1,1,1,1,1,12,13.085233496665017,40.93789830102355,6.914697118425261,19,0,25.93789830102355,42.435337640520714,32.68536814138526,12,23.865219902158348,37.15480627174132,2.250045520116977,31.261409789321245,5,0,96,500,1,30.93789830102355,1,45,300,0,1,35,300,0,1,193,34.37534140087733,1,1,1,1,1,22,0,0,13,10,6,9,18,21,89.37515932040942,96.56255690014622,94.50009104023395,93.12511380029244,95.1875796602047,93.8126024202632,94.50009104023395,1,2025-01-11 10:10:00
1,1,10,0,41.182684503927945,87.71023616078409,1,1,1,1,1,1,1,1,12,13.130302113051949,95.02358429772043,52.05372990574651,17,1,75.70033167072035,77.95199601381411,74.74570962846732,10,28.8281768583992,35.228322213657975,2.2780210861631938,27.067421982429895,3,0,496,500,1,69.37005049889643,0,282,300,34,1,256,300,20,1,195,82.55001623092073,1,1,0,1,0,22,0,0,13,9,7,5,20,19,89.47307380157118,96.597526357704,94.55604217232639,93.19505271540798,95.2365369007856,93.87554744386719,94.55604217232639,7,2025-03-10 15:35:00
1,0,6,3,84.28198651168829,75.04180306354222,0,1,1,1,1,1,1,1,4,51.61514635013032,69.91104803632533,6.750819464372871,19,0,24.156072850189616,37.019380078915646,29.070900911368483,5,93.6087194041082,67.19720106962116,8.596786085235511,30.04895439683355,3,0,89,500,1,29.156072850189616,1,40,300,0,1,32,300,0,1,178,32.84806244301967,1,1,1,1,1,19,0,0,13,11,6,8,15,21,88.66242914007584,35.63470594008567,42.29996214025073,26.29436628168751,40.89495307041887,22.546809414117178,32.251987273924996,1,2025-01-29 04:15:00
