user_id,alert_time,alert_type,alert_value
USR00077,2026-05-19 14:00:00,失压,2.68
USR00077,2026-05-17 14:00:00,失压,4.08
USR00077,2026-05-18 14:00:00,失压,1.82
USR00212,2026-05-18 14:00:00,失压,1.94
USR00212,2026-05-22 14:00:00,功率方向异常,3.82
USR00212,2026-05-22 14:00:00,失压,2.8
USR00357,2026-05-17 14:00:00,功率方向异常,2.22
USR00357,2026-05-20 14:00:00,突降,4.47
USR00462,2026-05-16 14:00:00,突降,4.0
USR00462,2026-05-16 14:00:00,失压,1.3
USR00462,2026-05-21 14:00:00,失压,4.7
USR00498,2026-05-16 14:00:00,突增,1.84
USR00498,2026-05-17 14:00:00,失压,3.37
USR00498,2026-05-20 14:00:00,突降,4.45
