area_id,stat_date,success_rate_7d,total_tasks_7d
AREA0001,2026-05-22,0.9284,12861
AREA0002,2026-05-22,0.9503,6935
AREA0003,2026-05-22,0.9168,13676
AREA0004,2026-05-22,0.9764,5891
AREA0005,2026-05-22,0.9719,10896
AREA0006,2026-05-22,0.9295,18894
AREA0007,2026-05-22,0.9784,12213
AREA0008,2026-05-22,0.9066,10976
AREA0009,2026-05-22,0.9412,9366
AREA0010,2026-05-22,0.9389,13306
AREA0011,2026-05-22,0.9707,9386
AREA0012,2026-05-22,0.9829,10277
AREA0013,2026-05-22,0.9067,13940
AREA0014,2026-05-22,0.9836,15806
AREA0015,2026-05-22,0.9498,7512
AREA0016,2026-05-22,0.9623,18180
AREA0017,2026-05-22,0.9013,10598
AREA0018,2026-05-22,0.9591,15068
AREA0019,2026-05-22,0.9,9586
AREA0020,2026-05-22,0.9035,11137
AREA0021,2026-05-22,0.9264,17767
AREA0022,2026-05-22,0.9846,19798
AREA0023,2026-05-22,0.9616,6841
AREA0024,2026-05-22,0.9357,10502
AREA0025,2026-05-22,0.9034,10079
AREA0026,2026-05-22,0.9706,10074
AREA0027,2026-05-22,0.9467,18543
AREA0028,2026-05-22,0.9082,12150
AREA0029,2026-05-22,0.9827,15738
AREA0030,2026-05-22,0.9345,9246
AREA0031,2026-05-22,0.9298,10083
AREA0032,2026-05-22,0.9539,9931
AREA0033,2026-05-22,0.5754,5387
AREA0034,2026-05-22,0.9062,13978
AREA0035,2026-05-22,0.9873,10229
AREA0036,2026-05-22,0.9794,15709
AREA0037,2026-05-22,0.9144,15367
AREA0038,2026-05-22,0.965,18981
AREA0039,2026-05-22,0.9451,7238
AREA0040,2026-05-22,0.9228,5346
AREA0041,2026-05-22,0.9755,9868
AREA0042,2026-05-22,0.961,10687
AREA0043,2026-05-22,0.9658,15376
AREA0044,2026-05-22,0.9344,16634
AREA0045,2026-05-22,0.9819,7423
AREA0046,2026-05-22,0.9752,9382
AREA0047,2026-05-22,0.9382,6493
AREA0048,2026-05-22,0.9309,8513
AREA0049,2026-05-22,0.972,11550
AREA0050,2026-05-22,0.9123,14223
