area_id,stat_date,loss_rate
AREA0001,2026-05-22,0.0593
AREA0002,2026-05-22,0.0294
AREA0003,2026-05-22,0.0463
AREA0004,2026-05-22,0.0472
AREA0005,2026-05-22,0.0587
AREA0006,2026-05-22,0.0394
AREA0007,2026-05-22,0.0295
AREA0008,2026-05-22,0.0344
AREA0009,2026-05-22,0.0456
AREA0010,2026-05-22,0.0389
AREA0011,2026-05-22,0.1248
AREA0012,2026-05-22,0.0523
AREA0013,2026-05-22,0.0546
AREA0014,2026-05-22,0.0391
AREA0015,2026-05-22,0.0409
AREA0016,2026-05-22,0.0397
AREA0017,2026-05-22,0.0412
AREA0018,2026-05-22,0.0241
AREA0019,2026-05-22,0.0373
AREA0020,2026-05-22,0.0379
AREA0021,2026-05-22,0.0599
AREA0022,2026-05-22,0.0219
AREA0023,2026-05-22,0.0325
AREA0024,2026-05-22,0.0398
AREA0025,2026-05-22,0.0539
AREA0026,2026-05-22,0.0384
AREA0027,2026-05-22,0.0316
AREA0028,2026-05-22,0.0414
AREA0029,2026-05-22,0.0319
AREA0030,2026-05-22,0.0419
AREA0031,2026-05-22,0.0476
AREA0032,2026-05-22,0.0412
AREA0033,2026-05-22,0.0444
AREA0034,2026-05-22,0.0215
AREA0035,2026-05-22,0.0464
AREA0036,2026-05-22,0.0588
AREA0037,2026-05-22,0.0397
AREA0038,2026-05-22,0.0521
AREA0039,2026-05-22,0.042
AREA0040,2026-05-22,0.0482
AREA0041,2026-05-22,0.0324
AREA0042,2026-05-22,0.0587
AREA0043,2026-05-22,0.0286
AREA0044,2026-05-22,0.0264
AREA0045,2026-05-22,0.0218
AREA0046,2026-05-22,0.0416
AREA0047,2026-05-22,0.0448
AREA0048,2026-05-22,0.046
AREA0049,2026-05-22,0.0269
AREA0050,2026-05-22,0.0461
