area_id,area_name,voltage_level,city
AREA0001,模拟台区1,0.4kV,上饶
AREA0002,模拟台区2,0.4kV,赣州
AREA0003,模拟台区3,0.4kV,九江
AREA0004,模拟台区4,10kV,南昌
AREA0005,模拟台区5,0.4kV,上饶
AREA0006,模拟台区6,0.4kV,上饶
AREA0007,模拟台区7,0.4kV,赣州
AREA0008,模拟台区8,0.4kV,九江
AREA0009,模拟台区9,0.4kV,赣州
AREA0010,模拟台区10,0.4kV,宜春
AREA0011,模拟台区11,0.4kV,南昌
AREA0012,模拟台区12,0.4kV,赣州
AREA0013,模拟台区13,0.4kV,九江
AREA0014,模拟台区14,0.4kV,上饶
AREA0015,模拟台区15,0.4kV,南昌
AREA0016,模拟台区16,0.4kV,宜春
AREA0017,模拟台区17,0.4kV,上饶
AREA0018,模拟台区18,0.4kV,南昌
AREA0019,模拟台区19,0.4kV,赣州
AREA0020,模拟台区20,0.4kV,南昌
AREA0021,模拟台区21,0.4kV,九江
AREA0022,模拟台区22,0.4kV,宜春
AREA0023,模拟台区23,0.4kV,南昌
AREA0024,模拟台区24,0.4kV,赣州
AREA0025,模拟台区25,0.4kV,上饶
AREA0026,模拟台区26,0.4kV,赣州
AREA0027,模拟台区27,0.4kV,宜春
AREA0028,模拟台区28,0.4kV,赣州
AREA0029,模拟台区29,0.4kV,南昌
AREA0030,模拟台区30,0.4kV,九江
AREA0031,模拟台区31,0.4kV,宜春
AREA0032,模拟台区32,0.4kV,九江
AREA0033,模拟台区33,0.4kV,上饶
AREA0034,模拟台区34,0.4kV,南昌
AREA0035,模拟台区35,0.4kV,上饶
AREA0036,模拟台区36,0.4kV,上饶
AREA0037,模拟台区37,0.4kV,九江
AREA0038,模拟台区38,0.4kV,上饶
AREA0039,模拟台区39,0.4kV,南昌
AREA0040,模拟台区40,0.4kV,南昌
AREA0041,模拟台区41,0.4kV,上饶
AREA0042,模拟台区42,0.4kV,赣州
AREA0043,模拟台区43,0.4kV,赣州
AREA0044,模拟台区44,0.4kV,上饶
AREA0045,模拟台区45,0.4kV,上饶
AREA0046,模拟台区46,0.4kV,九江
AREA0047,模拟台区47,0.4kV,宜春
AREA0048,模拟台区48,0.4kV,九江
AREA0049,模拟台区49,0.4kV,南昌
AREA0050,模拟台区50,0.4kV,九江
