terminal_id,stat_date,success_rate_7d,failed_concentrate_slot,total_tasks_7d
TERM00001,2026-05-22,0.9658,-1,1815
TERM00002,2026-05-22,0.9107,-1,1975
TERM00003,2026-05-22,0.929,-1,1308
TERM00004,2026-05-22,0.9406,-1,1321
TERM00005,2026-05-22,0.8972,-1,1161
TERM00006,2026-05-22,0.9596,-1,1374
TERM00007,2026-05-22,0.9838,-1,522
TERM00008,2026-05-22,0.9464,-1,1588
TERM00009,2026-05-22,0.9057,-1,1087
TERM00010,2026-05-22,0.6769,8,742
TERM00011,2026-05-22,0.9723,-1,1437
TERM00012,2026-05-22,0.9291,-1,1737
TERM00013,2026-05-22,0.9047,-1,758
TERM00014,2026-05-22,0.9324,-1,1397
TERM00015,2026-05-22,0.8998,-1,968
TERM00016,2026-05-22,0.8919,-1,1221
TERM00017,2026-05-22,0.9171,-1,1118
TERM00018,2026-05-22,0.9862,-1,1423
TERM00019,2026-05-22,0.9002,-1,1784
TERM00020,2026-05-22,0.9629,-1,673
TERM00021,2026-05-22,0.9819,-1,1220
TERM00022,2026-05-22,0.9469,-1,817
TERM00023,2026-05-22,0.9016,-1,805
TERM00024,2026-05-22,0.9864,-1,780
TERM00025,2026-05-22,0.9331,-1,1877
TERM00026,2026-05-22,0.942,-1,1225
TERM00027,2026-05-22,0.964,-1,1320
TERM00028,2026-05-22,0.9322,-1,1785
TERM00029,2026-05-22,0.9157,-1,683
TERM00030,2026-05-22,0.9425,-1,566
TERM00031,2026-05-22,0.9695,-1,1026
TERM00032,2026-05-22,0.9843,-1,572
TERM00033,2026-05-22,0.9778,-1,862
TERM00034,2026-05-22,0.9587,-1,1532
TERM00035,2026-05-22,0.8943,-1,1380
TERM00036,2026-05-22,0.9252,-1,1155
TERM00037,2026-05-22,0.9513,-1,1993
TERM00038,2026-05-22,0.9451,-1,1514
TERM00039,2026-05-22,0.9153,-1,553
TERM00040,2026-05-22,0.9337,-1,1208
TERM00041,2026-05-22,0.9743,-1,1462
TERM00042,2026-05-22,0.9304,-1,1862
TERM00043,2026-05-22,0.9109,-1,911
TERM00044,2026-05-22,0.8952,-1,956
TERM00045,2026-05-22,0.9136,-1,718
TERM00046,2026-05-22,0.9643,-1,1827
TERM00047,2026-05-22,0.9746,-1,1119
TERM00048,2026-05-22,0.9844,-1,1971
TERM00049,2026-05-22,0.9582,-1,613
TERM00050,2026-05-22,0.8894,-1,706
TERM00051,2026-05-22,0.9103,-1,607
TERM00052,2026-05-22,0.8912,-1,1184
TERM00053,2026-05-22,0.9588,-1,1494
TERM00054,2026-05-22,0.9503,-1,1410
TERM00055,2026-05-22,0.9659,-1,1363
TERM00056,2026-05-22,0.965,-1,747
TERM00057,2026-05-22,0.9563,-1,1805
TERM00058,2026-05-22,0.9191,-1,1945
TERM00059,2026-05-22,0.934,-1,1287
