user_id,complaint_time,category,status
USR00073,2025-12-19 11:00:00,计量准确,未结
USR00073,2026-03-27 11:00:00,停电,已结
USR00073,2025-07-27 11:00:00,停电,已结
USR00073,2026-04-22 11:00:00,抄表,未结
USR00073,2026-04-16 11:00:00,抄表,已结
USR00132,2026-02-04 11:00:00,计量准确,已结
USR00132,2025-10-07 11:00:00,计量准确,已结
USR00132,2025-08-13 11:00:00,计量准确,未结
USR00183,2025-11-21 11:00:00,计量准确,已结
USR00183,2026-02-26 11:00:00,停电,已结
USR00183,2026-01-29 11:00:00,计量准确,已结
USR00183,2026-01-03 11:00:00,计量准确,未结
USR00411,2026-01-29 11:00:00,收费,已结
USR00411,2026-01-17 11:00:00,抄表,已结
USR00411,2026-03-03 11:00:00,停电,已结
USR00411,2025-12-11 11:00:00,抄表,已结
USR00416,2025-12-24 11:00:00,抄表,未结
USR00416,2025-10-14 11:00:00,停电,未结
USR00416,2026-05-17 11:00:00,计量准确,已结
USR00416,2026-03-21 11:00:00,停电,已结
