user_id,stat_date,kwh
USR00001,2026-05-22,41.81
USR00001,2026-05-21,47.07
USR00001,2026-05-20,52.99
USR00001,2026-05-19,46.05
USR00001,2026-05-18,45.31
USR00001,2026-05-17,53.66
USR00001,2026-05-16,46.59
USR00001,2026-05-15,53.37
USR00001,2026-05-14,50.13
USR00001,2026-05-13,46.42
USR00001,2026-05-12,50.37
USR00001,2026-05-11,49.6
USR00001,2026-05-10,52.97
USR00001,2026-05-09,45.43
USR00001,2026-05-08,48.26
USR00001,2026-05-07,47.77
USR00001,2026-05-06,51.45
USR00001,2026-05-05,43.14
USR00001,2026-05-04,52.95
USR00001,2026-05-03,50.31
USR00001,2026-05-02,41.73
USR00001,2026-05-01,53.87
USR00001,2026-04-30,58.8
USR00001,2026-04-29,52.88
USR00001,2026-04-28,54.92
USR00001,2026-04-27,48.48
USR00001,2026-04-26,40.08
USR00001,2026-04-25,39.2
USR00001,2026-04-24,49.29
USR00001,2026-04-23,45.22
USR00002,2026-05-22,17.21
USR00002,2026-05-21,18.39
USR00002,2026-05-20,14.8
USR00002,2026-05-19,16.54
USR00002,2026-05-18,19.94
USR00002,2026-05-17,15.46
USR00002,2026-05-16,18.83
USR00002,2026-05-15,16.48
USR00002,2026-05-14,18.27
USR00002,2026-05-13,19.22
USR00002,2026-05-12,18.6
USR00002,2026-05-11,18.9
USR00002,2026-05-10,15.33
USR00002,2026-05-09,19.25
USR00002,2026-05-08,15.84
USR00002,2026-05-07,17.77
USR00002,2026-05-06,17.77
USR00002,2026-05-05,18.16
USR00002,2026-05-04,17.9
USR00002,2026-05-03,15.86
USR00002,2026-05-02,14.98
USR00002,2026-05-01,18.83
USR00002,2026-04-30,17.64
USR00002,2026-04-29,19.31
USR00002,2026-04-28,17.24
USR00002,2026-04-27,14.89
USR00002,2026-04-26,18.99
USR00002,2026-04-25,16.68
USR00002,2026-04-24,17.91
USR00002,2026-04-23,16.2
USR00003,2026-05-22,17.88
USR00003,2026-05-21,18.94
USR00003,2026-05-20,19.81
USR00003,2026-05-19,17.46
USR00003,2026-05-18,20.25
USR00003,2026-05-17,22.76
USR00003,2026-05-16,18.64
USR00003,2026-05-15,20.38
USR00003,2026-05-14,14.21
USR00003,2026-05-13,19.52
USR00003,2026-05-12,18.99
USR00003,2026-05-11,18.0
USR00003,2026-05-10,21.72
USR00003,2026-05-09,18.96
USR00003,2026-05-08,19.25
USR00003,2026-05-07,18.86
USR00003,2026-05-06,15.84
USR00003,2026-05-05,17.38
USR00003,2026-05-04,21.48
USR00003,2026-05-03,15.47
USR00003,2026-05-02,18.1
USR00003,2026-05-01,18.82
USR00003,2026-04-30,23.02
USR00003,2026-04-29,21.11
USR00003,2026-04-28,18.51
USR00003,2026-04-27,22.16
USR00003,2026-04-26,18.15
USR00003,2026-04-25,21.58
USR00003,2026-04-24,16.94
USR00003,2026-04-23,21.7
USR00004,2026-05-22,178.21
USR00004,2026-05-21,194.33
USR00004,2026-05-20,204.15
USR00004,2026-05-19,188.82
USR00004,2026-05-18,209.65
USR00004,2026-05-17,187.06
USR00004,2026-05-16,210.97
USR00004,2026-05-15,207.43
USR00004,2026-05-14,197.43
USR00004,2026-05-13,189.88
USR00004,2026-05-12,201.65
USR00004,2026-05-11,209.57
USR00004,2026-05-10,239.6
USR00004,2026-05-09,217.3
USR00004,2026-05-08,218.03
USR00004,2026-05-07,259.99
USR00004,2026-05-06,208.89
USR00004,2026-05-05,208.27
USR00004,2026-05-04,212.63
USR00004,2026-05-03,178.6
USR00004,2026-05-02,189.83
USR00004,2026-05-01,188.59
USR00004,2026-04-30,211.51
USR00004,2026-04-29,195.18
USR00004,2026-04-28,201.39
USR00004,2026-04-27,220.24
USR00004,2026-04-26,215.79
USR00004,2026-04-25,195.43
USR00004,2026-04-24,185.33
USR00004,2026-04-23,221.19
USR00005,2026-05-22,4.69
USR00005,2026-05-21,5.41
USR00005,2026-05-20,5.68
USR00005,2026-05-19,6.02
USR00005,2026-05-18,6.1
USR00005,2026-05-17,5.75
USR00005,2026-05-16,5.92
USR00005,2026-05-15,5.63
USR00005,2026-05-14,5.21
USR00005,2026-05-13,5.44
USR00005,2026-05-12,5.6
USR00005,2026-05-11,5.57
USR00005,2026-05-10,4.54
USR00005,2026-05-09,5.37
USR00005,2026-05-08,5.62
USR00005,2026-05-07,5.43
USR00005,2026-05-06,5.45
USR00005,2026-05-05,5.86
USR00005,2026-05-04,4.99
USR00005,2026-05-03,4.68
USR00005,2026-05-02,5.39
USR00005,2026-05-01,6.02
USR00005,2026-04-30,6.53
USR00005,2026-04-29,6.03
USR00005,2026-04-28,4.77
USR00005,2026-04-27,5.46
USR00005,2026-04-26,5.73
USR00005,2026-04-25,5.69
USR00005,2026-04-24,5.89
USR00005,2026-04-23,5.08
USR00006,2026-05-22,464.03
USR00006,2026-05-21,482.08
USR00006,2026-05-20,409.43
USR00006,2026-05-19,429.94
USR00006,2026-05-18,324.91
USR00006,2026-05-17,417.64
USR00006,2026-05-16,421.96
USR00006,2026-05-15,399.91
USR00006,2026-05-14,452.69
USR00006,2026-05-13,442.82
USR00006,2026-05-12,344.71
USR00006,2026-05-11,454.91
USR00006,2026-05-10,403.97
USR00006,2026-05-09,466.94
USR00006,2026-05-08,388.23
USR00006,2026-05-07,446.65
