user_id,event_type,report_mode,task_id
USR00001,掉电,实时,EVT000001
USR00001,开盖,实时,EVT100001
USR00002,掉电,实时,EVT000002
USR00002,开盖,实时,EVT100002
USR00003,掉电,实时,EVT000003
USR00003,开盖,实时,EVT100003
USR00004,掉电,实时,EVT000004
USR00004,开盖,实时,EVT100004
USR00005,掉电,实时,EVT000005
USR00005,开盖,实时,EVT100005
USR00006,掉电,实时,EVT000006
USR00006,开盖,实时,EVT100006
USR00007,掉电,实时,EVT000007
USR00007,开盖,实时,EVT100007
USR00008,掉电,实时,EVT000008
USR00008,开盖,实时,EVT100008
USR00009,掉电,实时,EVT000009
USR00009,开盖,实时,EVT100009
USR00010,掉电,实时,EVT000010
USR00010,开盖,实时,EVT100010
USR00011,掉电,实时,EVT000011
USR00011,开盖,实时,EVT100011
USR00012,掉电,实时,EVT000012
USR00012,开盖,实时,EVT100012
USR00013,掉电,实时,EVT000013
USR00013,开盖,实时,EVT100013
USR00014,掉电,实时,EVT000014
USR00014,开盖,实时,EVT100014
USR00015,掉电,实时,EVT000015
USR00015,开盖,实时,EVT100015
USR00016,掉电,实时,EVT000016
USR00016,开盖,实时,EVT100016
USR00017,掉电,实时,EVT000017
USR00017,开盖,实时,EVT100017
USR00018,掉电,实时,EVT000018
USR00018,开盖,实时,EVT100018
USR00019,掉电,实时,EVT000019
USR00019,开盖,实时,EVT100019
USR00020,掉电,实时,EVT000020
USR00020,开盖,实时,EVT100020
USR00021,掉电,实时,EVT000021
USR00021,开盖,实时,EVT100021
USR00022,掉电,实时,EVT000022
USR00022,开盖,实时,EVT100022
USR00023,掉电,实时,EVT000023
USR00023,开盖,实时,EVT100023
USR00024,掉电,实时,EVT000024
USR00024,开盖,实时,EVT100024
USR00025,掉电,实时,EVT000025
USR00025,开盖,实时,EVT100025
USR00026,掉电,实时,EVT000026
USR00026,开盖,实时,EVT100026
USR00027,掉电,实时,EVT000027
USR00027,开盖,实时,EVT100027
USR00028,掉电,实时,EVT000028
USR00028,开盖,实时,EVT100028
USR00029,掉电,实时,EVT000029
USR00029,开盖,实时,EVT100029
USR00030,掉电,实时,EVT000030
USR00030,开盖,实时,EVT100030
USR00031,掉电,实时,EVT000031
USR00031,开盖,实时,EVT100031
USR00032,掉电,实时,EVT000032
USR00032,开盖,实时,EVT100032
USR00033,掉电,实时,EVT000033
USR00033,开盖,实时,EVT100033
USR00034,掉电,实时,EVT000034
USR00034,开盖,实时,EVT100034
USR00035,掉电,实时,EVT000035
USR00035,开盖,实时,EVT100035
USR00036,掉电,实时,EVT000036
USR00036,开盖,实时,EVT100036
USR00037,掉电,实时,EVT000037
USR00037,开盖,实时,EVT100037
USR00038,掉电,实时,EVT000038
USR00038,开盖,实时,EVT100038
USR00039,掉电,实时,EVT000039
USR00039,开盖,实时,EVT100039
USR00040,掉电,实时,EVT000040
USR00040,开盖,实时,EVT100040
USR00041,掉电,实时,EVT000041
USR00041,开盖,实时,EVT100041
USR00042,掉电,实时,EVT000042
USR00042,开盖,实时,EVT100042
USR00043,掉电,实时,EVT000043
USR00043,开盖,实时,EVT100043
USR00044,掉电,实时,EVT000044
USR00044,开盖,实时,EVT100044
USR00045,掉电,实时,EVT000045
USR00045,开盖,实时,EVT100045
USR00046,掉电,实时,EVT000046
USR00046,开盖,实时,EVT100046
USR00047,掉电,实时,EVT000047
USR00047,开盖,实时,EVT100047
