meter_id,measure_point_id,user_id,terminal_id,meter_type,install_date
MTR000001,MP000001,USR00394,TERM00205,三相智能表,2025-03-14
MTR000002,MP000002,USR00201,TERM00208,三相智能表,2022-02-21
MTR000003,MP000003,USR00004,TERM00259,三相智能表,2022-01-07
MTR000004,MP000004,USR00352,TERM00211,单相智能表,2024-10-05
MTR000005,MP000005,USR00073,TERM00085,单相智能表,2024-12-27
MTR000006,MP000006,USR00053,TERM00254,单相智能表,2021-09-10
MTR000007,MP000007,USR00415,TERM00028,单相智能表,2023-07-28
MTR000008,MP000008,USR00237,TERM00155,单相智能表,2025-06-22
MTR000009,MP000009,USR00381,TERM00299,三相智能表,2026-01-08
MTR000010,MP000010,USR00197,TERM00265,三相智能表,2024-04-29
MTR000011,MP000011,USR00358,TERM00111,单相智能表,2022-12-17
MTR000012,MP000012,USR00155,TERM00021,三相智能表,2025-06-12
MTR000013,MP000013,USR00445,TERM00058,三相智能表,2025-01-02
MTR000014,MP000014,USR00374,TERM00250,单相智能表,2025-08-14
MTR000015,MP000015,USR00096,TERM00261,单相智能表,2022-04-22
MTR000016,MP000016,USR00371,TERM00161,三相智能表,2024-12-13
MTR000017,MP000017,USR00038,TERM00061,单相智能表,2025-01-03
MTR000018,MP000018,USR00420,TERM00195,单相智能表,2024-03-07
MTR000019,MP000019,USR00044,TERM00289,三相智能表,2022-06-30
MTR000020,MP000020,USR00483,TERM00157,三相智能表,2024-06-12
MTR000021,MP000021,USR00341,TERM00032,单相智能表,2025-04-05
MTR000022,MP000022,USR00156,TERM00198,三相智能表,2023-07-02
MTR000023,MP000023,USR00340,TERM00253,单相智能表,2026-02-12
MTR000024,MP000024,USR00360,TERM00278,三相智能表,2023-10-04
MTR000025,MP000025,USR00070,TERM00164,单相智能表,2025-11-14
MTR000026,MP000026,USR00355,TERM00147,单相智能表,2022-08-20
MTR000027,MP000027,USR00332,TERM00279,单相智能表,2025-05-19
MTR000028,MP000028,USR00134,TERM00004,单相智能表,2024-04-16
MTR000029,MP000029,USR00382,TERM00214,单相智能表,2022-01-27
MTR000030,MP000030,USR00186,TERM00200,三相智能表,2022-11-30
MTR000031,MP000031,USR00406,TERM00098,单相智能表,2024-04-13
MTR000032,MP000032,USR00265,TERM00174,单相智能表,2021-10-08
MTR000033,MP000033,USR00066,TERM00256,三相智能表,2022-09-20
MTR000034,MP000034,USR00251,TERM00019,单相智能表,2025-10-29
MTR000035,MP000035,USR00114,TERM00085,单相智能表,2025-04-27
MTR000036,MP000036,USR00123,TERM00200,单相智能表,2024-01-11
MTR000037,MP000037,USR00195,TERM00134,三相智能表,2022-05-25
MTR000038,MP000038,USR00309,TERM00170,单相智能表,2022-05-13
MTR000039,MP000039,USR00095,TERM00275,单相智能表,2024-12-16
MTR000040,MP000040,USR00056,TERM00149,三相智能表,2025-08-23
MTR000041,MP000041,USR00193,TERM00188,单相智能表,2024-05-01
MTR000042,MP000042,USR00156,TERM00198,单相智能表,2022-02-23
MTR000043,MP000043,USR00390,TERM00242,单相智能表,2026-02-18
MTR000044,MP000044,USR00188,TERM00272,三相智能表,2023-03-02
MTR000045,MP000045,USR00356,TERM00177,三相智能表,2025-04-09
MTR000046,MP000046,USR00494,TERM00211,三相智能表,2022-02-15
MTR000047,MP000047,USR00242,TERM00257,单相智能表,2025-03-10
MTR000048,MP000048,USR00097,TERM00156,单相智能表,2022-01-16
MTR000049,MP000049,USR00146,TERM00151,三相智能表,2023-04-08
MTR000050,MP000050,USR00183,TERM00118,三相智能表,2025-09-04
MTR000051,MP000051,USR00156,TERM00198,单相智能表,2021-09-11
MTR000052,MP000052,USR00049,TERM00127,三相智能表,2024-02-21
MTR000053,MP000053,USR00416,TERM00034,单相智能表,2023-09-19
MTR000054,MP000054,USR00278,TERM00013,单相智能表,2022-04-11
MTR000055,MP000055,USR00124,TERM00125,单相智能表,2024-11-22
MTR000056,MP000056,USR00004,TERM00259,单相智能表,2025-02-19
MTR000057,MP000057,USR00400,TERM00239,单相智能表,2023-10-29
MTR000058,MP000058,USR00402,TERM00180,三相智能表,2024-05-13
MTR000059,MP000059,USR00228,TERM00192,单相智能表,2021-10-26
MTR000060,MP000060,USR00105,TERM00116,单相智能表,2022-09-08
MTR000061,MP000061,USR00467,TERM00076,单相智能表,2023-09-27
MTR000062,MP000062,USR00101,TERM00055,三相智能表,2022-05-26
MTR000063,MP000063,USR00417,TERM00179,三相智能表,2022-10-05
MTR000064,MP000064,USR00328,TERM00013,单相智能表,2021-06-21
MTR000065,MP000065,USR00467,TERM00076,单相智能表,2023-03-04
MTR000066,MP000066,USR00281,TERM00078,单相智能表,2021-06-17
MTR000067,MP000067,USR00474,TERM00299,三相智能表,2024-04-12
MTR000068,MP000068,USR00470,TERM00129,三相智能表,2024-11-29
MTR000069,MP000069,USR00265,TERM00174,三相智能表,2024-06-04
MTR000070,MP000070,USR00078,TERM00242,单相智能表,2021-12-19
