user_id,ct_ratio_marketing,ct_ratio_meter,is_consistent,diff_fields
USR00001,1,1,True,
USR00002,1,1,True,
USR00003,1,1,True,
USR00004,1,1,True,
USR00005,1,1,True,
USR00006,1,1,True,
USR00007,1,1,True,
USR00008,1,1,True,
USR00009,1,1,True,
USR00010,1,1,True,
USR00011,1,1,True,
USR00012,1,1,True,
USR00013,1,1,True,
USR00014,1,1,True,
USR00015,1,1,True,
USR00016,1,1,True,
USR00017,1,1,True,
USR00018,1,1,True,
USR00019,1,1,True,
USR00020,1,1,True,
USR00021,1,1,True,
USR00022,1,1,True,
USR00023,1,1,True,
USR00024,1,1,True,
USR00025,1,1,True,
USR00026,1,1,True,
USR00027,1,1,True,
USR00028,1,1,True,
USR00029,1,1,True,
USR00030,1,1,True,
USR00031,1,1,True,
USR00032,1,1,True,
USR00033,1,1,True,
USR00034,1,1,True,
USR00035,1,1,True,
USR00036,1,1,True,
USR00037,1,1,True,
USR00038,1,1,True,
USR00039,1,1,True,
USR00040,1,1,True,
USR00041,1,1,True,
USR00042,1,1,True,
USR00043,1,1,True,
USR00044,1,1,True,
USR00045,1,1,True,
USR00046,1,1,True,
USR00047,1,1,True,
USR00048,1,1,True,
USR00049,1,1,True,
USR00050,1,1,True,
USR00051,1,1,True,
USR00052,1,1,True,
USR00053,1,1,True,
USR00054,1,1,True,
USR00055,1,1,True,
USR00056,1,1,True,
USR00057,1,1,True,
USR00058,1,1,True,
USR00059,1,1,True,
USR00060,1,1,True,
USR00061,1,1,True,
USR00062,1,1,True,
USR00063,1,1,True,
USR00064,1,1,True,
USR00065,1,1,True,
USR00066,1,1,True,
USR00067,1,1,True,
USR00068,1,1,True,
USR00069,1,1,True,
USR00070,1,1,True,
USR00071,1,1,True,
USR00072,1,1,True,
USR00073,1,1,True,
USR00074,1,1,True,
USR00075,1,1,True,
USR00076,1,1,True,
USR00077,1,1,True,
USR00078,1,1,True,
USR00079,1,1,True,
USR00080,1,1,True,
USR00081,1,1,True,
USR00082,1,1,True,
USR00083,1,1,True,
USR00084,1,1,True,
USR00085,1,1,True,
USR00086,1,1,True,
USR00087,1,1,True,
USR00088,1,1,True,
USR00089,1,1,True,
USR00090,1,1,True,
USR00091,1,1,True,
USR00092,1,1,True,
USR00093,1,1,True,
USR00094,1,1,True,
USR00095,1,1,True,
USR00096,1,1,True,
USR00097,1,1,True,
USR00098,1,1,True,
USR00099,1,1,True,
USR00100,1,1,True,
USR00101,1,1,True,
USR00102,1,1,True,
USR00103,1,1,True,
USR00104,1,1,True,
USR00105,1,1,True,
USR00106,1,1,True,
USR00107,1,1,True,
USR00108,1,1,True,
USR00109,1,1,True,
USR00110,1,1,True,
USR00111,1,1,True,
USR00112,1,1,True,
USR00113,1,1,True,
USR00114,1,1,True,
USR00115,1,1,True,
USR00116,1,1,True,
USR00117,1,1,True,
USR00118,1,1,True,
USR00119,1,1,True,
USR00120,1,1,True,
USR00121,1,1,True,
USR00122,1,1,True,
USR00123,1,1,True,
USR00124,1,1,True,
USR00125,1,1,True,
USR00126,1,1,True,
USR00127,1,1,True,
USR00128,1,1,True,
USR00129,1,1,True,
USR00130,1,1,True,
USR00131,1,1,True,
USR00132,1,1,True,
USR00133,1,1,True,
USR00134,1,1,True,
USR00135,1,1,True,
USR00136,1,1,True,
USR00137,1,1,True,
USR00138,1,1,True,
USR00139,1,1,True,
USR00140,1,1,True,
USR00141,1,1,True,
USR00142,1,1,True,
USR00143,1,1,True,
USR00144,1,1,True,
USR00145,1,1,True,
USR00146,1,1,True,
USR00147,1,1,True,
USR00148,1,1,True,
USR00149,1,1,True,
USR00150,1,1,True,
USR00151,1,1,True,
USR00152,1,1,True,
USR00153,1,1,True,
USR00154,1,1,True,
USR00155,1,1,True,
USR00156,1,1,True,
USR00157,1,1,True,
USR00158,1,1,True,
USR00159,1,1,True,
USR00160,1,1,True,
USR00161,1,1,True,
USR00162,1,1,True,
USR00163,1,1,True,
USR00164,1,1,True,
USR00165,1,1,True,
USR00166,1,1,True,
USR00167,1,1,True,
USR00168,1,1,True,
USR00169,1,1,True,
