terminal_id,restart_time,reason
TERM00001,2026-05-22 03:00:00,软重启
TERM00001,2026-05-17 03:00:00,软重启
TERM00003,2026-05-22 03:00:00,掉电
TERM00003,2026-05-19 03:00:00,软重启
TERM00004,2026-05-20 03:00:00,掉电
TERM00005,2026-05-22 03:00:00,看门狗
TERM00006,2026-05-22 03:00:00,远程重启
TERM00007,2026-05-22 03:00:00,掉电
TERM00008,2026-05-19 03:00:00,掉电
TERM00008,2026-05-22 03:00:00,软重启
TERM00011,2026-05-19 03:00:00,软重启
TERM00012,2026-05-16 03:00:00,远程重启
TERM00013,2026-05-19 03:00:00,掉电
TERM00013,2026-05-22 03:00:00,看门狗
TERM00014,2026-05-18 03:00:00,掉电
TERM00016,2026-05-20 03:00:00,看门狗
TERM00016,2026-05-16 03:00:00,掉电
TERM00018,2026-05-18 03:00:00,掉电
TERM00018,2026-05-18 03:00:00,远程重启
TERM00020,2026-05-19 03:00:00,远程重启
TERM00020,2026-05-16 03:00:00,软重启
TERM00024,2026-05-21 03:00:00,远程重启
TERM00025,2026-05-20 03:00:00,看门狗
TERM00025,2026-05-20 03:00:00,看门狗
TERM00027,2026-05-21 03:00:00,远程重启
TERM00027,2026-05-16 03:00:00,软重启
TERM00028,2026-05-17 03:00:00,远程重启
TERM00029,2026-05-19 03:00:00,软重启
TERM00033,2026-05-18 03:00:00,远程重启
TERM00034,2026-05-19 03:00:00,看门狗
TERM00035,2026-05-19 03:00:00,软重启
TERM00036,2026-05-22 03:00:00,看门狗
TERM00037,2026-05-17 03:00:00,远程重启
TERM00037,2026-05-19 03:00:00,掉电
TERM00038,2026-05-21 03:00:00,远程重启
TERM00040,2026-05-16 03:00:00,远程重启
TERM00040,2026-05-22 03:00:00,远程重启
TERM00043,2026-05-20 03:00:00,远程重启
TERM00043,2026-05-19 03:00:00,软重启
TERM00045,2026-05-18 03:00:00,掉电
TERM00045,2026-05-21 03:00:00,看门狗
TERM00048,2026-05-16 03:00:00,掉电
TERM00049,2026-05-19 03:00:00,远程重启
TERM00049,2026-05-18 03:00:00,看门狗
TERM00051,2026-05-22 03:00:00,看门狗
TERM00051,2026-05-21 03:00:00,看门狗
TERM00052,2026-05-22 03:00:00,软重启
TERM00052,2026-05-17 03:00:00,看门狗
TERM00053,2026-05-21 03:00:00,看门狗
TERM00055,2026-05-20 03:00:00,远程重启
TERM00056,2026-05-18 03:00:00,软重启
TERM00057,2026-05-18 03:00:00,看门狗
TERM00058,2026-05-18 03:00:00,软重启
TERM00059,2026-05-22 03:00:00,远程重启
TERM00061,2026-05-18 03:00:00,看门狗
TERM00061,2026-05-19 03:00:00,软重启
TERM00062,2026-05-20 03:00:00,远程重启
TERM00063,2026-05-16 03:00:00,远程重启
TERM00063,2026-05-17 03:00:00,掉电
TERM00065,2026-05-16 03:00:00,掉电
TERM00065,2026-05-18 03:00:00,远程重启
TERM00066,2026-05-16 03:00:00,掉电
TERM00066,2026-05-19 03:00:00,看门狗
TERM00067,2026-05-16 03:00:00,看门狗
TERM00067,2026-05-17 03:00:00,掉电
TERM00068,2026-05-17 03:00:00,远程重启
TERM00074,2026-05-18 03:00:00,软重启
TERM00074,2026-05-18 03:00:00,远程重启
TERM00075,2026-05-17 03:00:00,远程重启
TERM00075,2026-05-17 03:00:00,远程重启
TERM00076,2026-05-18 03:00:00,软重启
TERM00076,2026-05-16 03:00:00,软重启
TERM00078,2026-05-17 03:00:00,远程重启
TERM00078,2026-05-22 03:00:00,远程重启
TERM00080,2026-05-21 03:00:00,看门狗
TERM00083,2026-05-19 03:00:00,掉电
TERM00083,2026-05-20 03:00:00,远程重启
TERM00084,2026-05-19 03:00:00,软重启
TERM00084,2026-05-18 03:00:00,软重启
TERM00086,2026-05-16 03:00:00,软重启
TERM00088,2026-05-18 03:00:00,看门狗
TERM00089,2026-05-21 03:00:00,远程重启
TERM00089,2026-05-17 03:00:00,远程重启
TERM00090,2026-05-20 03:00:00,掉电
TERM00090,2026-05-19 03:00:00,掉电
TERM00093,2026-05-17 03:00:00,软重启
TERM00094,2026-05-17 03:00:00,软重启
TERM00094,2026-05-16 03:00:00,看门狗
TERM00095,2026-05-17 03:00:00,远程重启
TERM00095,2026-05-20 03:00:00,看门狗
TERM00096,2026-05-21 03:00:00,软重启
TERM00097,2026-05-21 03:00:00,掉电
TERM00097,2026-05-22 03:00:00,掉电
TERM00098,2026-05-16 03:00:00,掉电
TERM00099,2026-05-17 03:00:00,掉电
TERM00102,2026-05-18 03:00:00,软重启
TERM00102,2026-05-21 03:00:00,远程重启
TERM00103,2026-05-19 03:00:00,掉电
TERM00104,2026-05-17 03:00:00,软重启
TERM00105,2026-05-21 03:00:00,软重启
TERM00105,2026-05-20 03:00:00,远程重启
TERM00108,2026-05-22 03:00:00,掉电
TERM00109,2026-05-18 03:00:00,掉电
TERM00110,2026-05-16 03:00:00,掉电
TERM00111,2026-05-21 03:00:00,远程重启
TERM00111,2026-05-19 03:00:00,软重启
TERM00112,2026-05-18 03:00:00,掉电
TERM00112,2026-05-18 03:00:00,远程重启
TERM00115,2026-05-20 03:00:00,远程重启
TERM00115,2026-05-17 03:00:00,远程重启
TERM00116,2026-05-16 03:00:00,看门狗
TERM00116,2026-05-22 03:00:00,软重启
TERM00117,2026-05-20 03:00:00,远程重启
TERM00117,2026-05-16 03:00:00,看门狗
TERM00120,2026-05-20 03:00:00,掉电
TERM00120,2026-05-22 03:00:00,掉电
TERM00123,2026-05-17 03:00:00,远程重启
TERM00123,2026-05-16 03:00:00,远程重启
TERM00124,2026-05-21 03:00:00,看门狗
TERM00125,2026-05-19 03:00:00,掉电
TERM00127,2026-05-16 03:00:00,掉电
TERM00128,2026-05-16 03:00:00,远程重启
TERM00129,2026-05-22 03:00:00,远程重启
TERM00129,2026-05-22 03:00:00,软重启
TERM00130,2026-05-20 03:00:00,软重启
TERM00131,2026-05-16 03:00:00,看门狗
TERM00132,2026-05-16 03:00:00,远程重启
TERM00132,2026-05-21 03:00:00,看门狗
TERM00134,2026-05-16 03:00:00,软重启
TERM00134,2026-05-19 03:00:00,软重启
TERM00135,2026-05-19 03:00:00,远程重启
TERM00137,2026-05-18 03:00:00,看门狗
TERM00137,2026-05-16 03:00:00,软重启
TERM00139,2026-05-22 03:00:00,掉电
TERM00140,2026-05-18 03:00:00,软重启
TERM00141,2026-05-17 03:00:00,软重启
TERM00142,2026-05-20 03:00:00,掉电
TERM00143,2026-05-22 03:00:00,看门狗
TERM00146,2026-05-16 03:00:00,看门狗
TERM00147,2026-05-20 03:00:00,掉电
TERM00149,2026-05-22 03:00:00,看门狗
TERM00150,2026-05-20 03:00:00,掉电
TERM00153,2026-05-17 03:00:00,软重启
TERM00153,2026-05-22 03:00:00,软重启
TERM00153,2026-05-20 03:00:00,看门狗
TERM00153,2026-05-20 03:00:00,看门狗
TERM00153,2026-05-19 03:00:00,软重启
TERM00153,2026-05-22 03:00:00,看门狗
TERM00153,2026-05-16 03:00:00,软重启
TERM00154,2026-05-16 03:00:00,远程重启
TERM00154,2026-05-19 03:00:00,掉电
TERM00155,2026-05-22 03:00:00,掉电
TERM00156,2026-05-19 03:00:00,掉电
TERM00157,2026-05-17 03:00:00,远程重启
TERM00158,2026-05-22 03:00:00,看门狗
TERM00158,2026-05-19 03:00:00,看门狗
TERM00159,2026-05-20 03:00:00,看门狗
TERM00159,2026-05-16 03:00:00,看门狗
TERM00160,2026-05-16 03:00:00,软重启
TERM00161,2026-05-19 03:00:00,软重启
TERM00162,2026-05-16 03:00:00,远程重启
TERM00164,2026-05-17 03:00:00,远程重启
TERM00164,2026-05-22 03:00:00,远程重启
TERM00167,2026-05-17 03:00:00,远程重启
TERM00168,2026-05-22 03:00:00,远程重启
TERM00170,2026-05-21 03:00:00,看门狗
TERM00170,2026-05-22 03:00:00,远程重启
TERM00172,2026-05-16 03:00:00,软重启
TERM00172,2026-05-18 03:00:00,掉电
TERM00176,2026-05-22 03:00:00,掉电
TERM00176,2026-05-20 03:00:00,掉电
TERM00178,2026-05-16 03:00:00,看门狗
TERM00180,2026-05-20 03:00:00,掉电
TERM00180,2026-05-18 03:00:00,远程重启
TERM00183,2026-05-19 03:00:00,看门狗
TERM00183,2026-05-19 03:00:00,软重启
TERM00184,2026-05-17 03:00:00,远程重启
TERM00185,2026-05-18 03:00:00,软重启
TERM00187,2026-05-22 03:00:00,看门狗
TERM00187,2026-05-16 03:00:00,软重启
TERM00188,2026-05-20 03:00:00,看门狗
TERM00189,2026-05-22 03:00:00,看门狗
TERM00189,2026-05-21 03:00:00,看门狗
TERM00190,2026-05-19 03:00:00,远程重启
TERM00191,2026-05-20 03:00:00,看门狗
TERM00192,2026-05-22 03:00:00,看门狗
TERM00193,2026-05-21 03:00:00,看门狗
TERM00194,2026-05-17 03:00:00,掉电
TERM00195,2026-05-21 03:00:00,看门狗
TERM00195,2026-05-16 03:00:00,看门狗
TERM00196,2026-05-20 03:00:00,看门狗
TERM00196,2026-05-17 03:00:00,远程重启
TERM00197,2026-05-20 03:00:00,远程重启
TERM00197,2026-05-20 03:00:00,远程重启
TERM00199,2026-05-21 03:00:00,软重启
TERM00199,2026-05-19 03:00:00,看门狗
TERM00201,2026-05-17 03:00:00,掉电
TERM00202,2026-05-17 03:00:00,软重启
TERM00204,2026-05-21 03:00:00,掉电
TERM00204,2026-05-21 03:00:00,远程重启
TERM00204,2026-05-21 03:00:00,掉电
TERM00204,2026-05-20 03:00:00,软重启
TERM00204,2026-05-22 03:00:00,掉电
TERM00204,2026-05-22 03:00:00,远程重启
TERM00204,2026-05-19 03:00:00,软重启
TERM00204,2026-05-18 03:00:00,远程重启
TERM00204,2026-05-18 03:00:00,看门狗
TERM00204,2026-05-22 03:00:00,看门狗
TERM00204,2026-05-16 03:00:00,掉电
TERM00204,2026-05-22 03:00:00,软重启
TERM00204,2026-05-18 03:00:00,看门狗
TERM00205,2026-05-20 03:00:00,远程重启
TERM00205,2026-05-21 03:00:00,看门狗
TERM00206,2026-05-21 03:00:00,掉电
TERM00207,2026-05-18 03:00:00,看门狗
TERM00207,2026-05-18 03:00:00,远程重启
TERM00208,2026-05-20 03:00:00,掉电
TERM00208,2026-05-16 03:00:00,掉电
TERM00209,2026-05-16 03:00:00,看门狗
TERM00209,2026-05-17 03:00:00,远程重启
TERM00211,2026-05-19 03:00:00,软重启
