terminal_id,strategy_id,bind_time
TERM00001,S001,2025-08-24
TERM00002,S001,2026-03-07
TERM00003,S001,2025-07-23
TERM00004,S001,2025-12-14
TERM00005,S001,2025-10-06
TERM00006,S001,2025-09-27
TERM00007,S001,2025-12-16
TERM00008,S001,2026-01-31
TERM00009,S001,2025-07-10
TERM00010,S001,2025-07-29
TERM00011,S001,2025-11-08
TERM00012,S002,2025-11-14
TERM00013,S002,2025-10-21
TERM00014,S002,2026-03-09
TERM00015,S001,2025-06-23
TERM00016,S001,2025-06-07
TERM00017,S001,2026-01-05
TERM00018,S001,2025-10-20
TERM00019,S002,2025-06-17
TERM00020,S001,2026-03-18
TERM00021,S001,2026-01-14
TERM00022,S002,2025-06-05
TERM00023,S001,2025-09-09
TERM00024,S001,2025-10-26
TERM00025,S001,2025-06-14
TERM00026,S002,2025-05-28
TERM00027,S001,2026-01-31
TERM00028,S002,2026-01-19
TERM00029,S002,2025-09-06
TERM00030,S001,2025-05-27
TERM00031,S001,2026-01-19
TERM00032,S001,2025-06-04
TERM00033,S001,2025-10-18
TERM00034,S001,2026-03-26
TERM00035,S002,2025-11-18
TERM00036,S002,2025-06-11
TERM00037,S001,2025-06-17
TERM00038,S001,2025-05-29
TERM00039,S001,2025-12-15
TERM00040,S002,2026-04-12
TERM00041,S002,2025-07-15
TERM00042,S002,2025-07-15
TERM00043,S001,2025-12-17
TERM00044,S001,2025-08-10
TERM00045,S002,2026-04-08
TERM00046,S001,2025-08-13
TERM00047,S001,2025-07-25
TERM00048,S002,2026-01-23
TERM00049,S001,2025-06-17
TERM00050,S002,2025-12-08
TERM00051,S001,2026-04-21
TERM00052,S002,2026-01-03
TERM00053,S001,2025-06-14
TERM00054,S002,2025-11-24
TERM00055,S001,2025-08-29
TERM00056,S001,2026-01-05
TERM00057,S002,2025-09-11
TERM00058,S002,2025-10-28
TERM00059,S001,2025-06-12
TERM00060,S001,2026-02-14
TERM00061,S001,2025-10-31
TERM00062,S001,2025-08-18
TERM00063,S001,2025-07-18
TERM00064,S001,2025-08-13
TERM00065,S002,2026-03-10
TERM00066,S001,2025-11-22
TERM00067,S001,2025-06-11
TERM00068,S002,2026-02-03
TERM00069,S001,2026-02-28
TERM00070,S001,2025-07-03
TERM00071,S001,2026-03-15
TERM00072,S002,2025-12-16
TERM00073,S002,2025-10-24
TERM00074,S001,2026-01-26
TERM00075,S002,2025-06-26
TERM00076,S001,2026-03-20
TERM00077,S002,2025-07-01
TERM00078,S002,2025-11-11
TERM00079,S001,2026-03-07
TERM00080,S001,2025-10-28
TERM00081,S001,2025-11-01
TERM00082,S001,2025-06-19
TERM00083,S002,2026-02-04
TERM00084,S002,2026-01-02
TERM00085,S002,2025-06-12
TERM00086,S001,2026-03-10
TERM00087,S001,2025-11-10
TERM00088,S002,2026-02-03
TERM00089,S002,2025-09-14
TERM00090,S001,2026-04-18
TERM00091,S001,2026-04-03
TERM00092,S001,2025-07-13
TERM00093,S001,2025-07-30
TERM00094,S002,2025-10-04
TERM00095,S001,2025-09-17
TERM00096,S001,2026-03-12
TERM00097,S002,2026-03-27
TERM00098,S002,2025-08-28
TERM00099,S002,2025-07-31
TERM00100,S001,2026-02-08
TERM00101,S002,2025-09-17
TERM00102,S001,2026-03-20
TERM00103,S001,2025-11-17
TERM00104,S001,2025-07-21
TERM00105,S001,2025-09-19
TERM00106,S001,2025-09-08
TERM00107,S001,2025-10-29
TERM00108,S002,2026-02-06
TERM00109,S002,2025-11-09
TERM00110,S001,2025-09-02
TERM00111,S002,2026-04-04
TERM00112,S001,2025-09-19
TERM00113,S001,2026-01-26
TERM00114,S001,2026-02-26
TERM00115,S001,2026-01-12
TERM00116,S001,2025-12-31
TERM00117,S001,2025-09-13
TERM00118,S001,2025-10-01
TERM00119,S001,2025-09-21
TERM00120,S001,2026-03-02
TERM00121,S001,2025-12-30
TERM00122,S001,2025-12-02
TERM00123,S001,2026-03-08
TERM00124,S001,2026-03-15
TERM00125,S001,2025-11-04
TERM00126,S001,2025-11-01
TERM00127,S001,2025-06-04
TERM00128,S001,2025-07-24
TERM00129,S001,2025-07-28
TERM00130,S001,2025-11-18
TERM00131,S002,2025-07-30
TERM00132,S001,2026-03-17
TERM00133,S001,2025-10-14
TERM00134,S002,2025-05-24
TERM00135,S002,2025-08-21
TERM00136,S001,2025-11-24
TERM00137,S002,2025-12-12
TERM00138,S001,2026-02-18
TERM00139,S002,2025-09-28
TERM00140,S002,2026-01-26
TERM00141,S002,2025-12-19
TERM00142,S001,2025-07-16
TERM00143,S001,2025-08-02
TERM00144,S002,2025-09-16
TERM00145,S002,2026-03-28
TERM00146,S002,2025-07-08
TERM00147,S001,2025-08-17
TERM00148,S001,2025-06-16
TERM00149,S002,2026-03-07
TERM00150,S001,2025-06-22
TERM00151,S001,2025-12-13
TERM00152,S002,2025-11-05
TERM00153,S001,2025-12-11
TERM00154,S001,2025-10-28
TERM00155,S001,2025-07-22
TERM00156,S001,2025-05-25
TERM00157,S001,2026-01-19
TERM00158,S001,2025-07-10
TERM00159,S001,2025-07-22
TERM00160,S002,2026-01-19
TERM00161,S002,2025-10-27
TERM00162,S001,2025-10-01
TERM00163,S001,2025-07-28
TERM00164,S001,2025-10-13
TERM00165,S001,2025-07-28
TERM00166,S002,2026-03-10
TERM00167,S001,2025-08-25
TERM00168,S002,2026-03-05
TERM00169,S001,2026-02-28
TERM00170,S001,2025-08-20
TERM00171,S002,2025-06-08
TERM00172,S002,2026-03-27
TERM00173,S002,2025-10-14
TERM00174,S001,2026-02-05
TERM00175,S002,2025-12-16
TERM00176,S001,2026-04-09
TERM00177,S001,2025-12-30
TERM00178,S001,2026-03-28
TERM00179,S001,2025-06-17
TERM00180,S001,2026-04-17
TERM00181,S001,2025-06-23
TERM00182,S001,2025-06-03
TERM00183,S001,2025-07-31
TERM00184,S002,2025-09-09
TERM00185,S001,2025-08-05
TERM00186,S001,2026-02-20
TERM00187,S001,2026-03-21
TERM00188,S001,2025-08-12
TERM00189,S002,2025-12-23
TERM00190,S001,2026-03-16
TERM00191,S001,2025-12-10
TERM00192,S002,2026-03-11
TERM00193,S001,2026-02-27
TERM00194,S001,2026-02-06
TERM00195,S002,2025-11-30
TERM00196,S001,2025-07-15
TERM00197,S001,2026-02-06
TERM00198,S001,2025-09-19
TERM00199,S001,2025-07-15
TERM00200,S001,2025-12-01
TERM00201,S001,2026-02-20
TERM00202,S001,2025-12-13
TERM00203,S001,2025-08-07
TERM00204,S001,2025-05-31
TERM00205,S001,2026-01-22
TERM00206,S002,2025-06-28
TERM00207,S002,2025-10-06
TERM00208,S001,2026-03-07
TERM00209,S001,2025-10-22
TERM00210,S001,2025-08-07
TERM00211,S001,2026-02-27
TERM00212,S001,2026-01-20
TERM00213,S001,2025-09-05
TERM00214,S001,2025-11-03
TERM00215,S002,2025-10-13
TERM00216,S001,2025-06-18
TERM00217,S001,2025-07-01
TERM00218,S001,2025-06-29
TERM00219,S001,2025-12-09
TERM00220,S001,2025-11-27
TERM00221,S001,2025-12-21
TERM00222,S001,2026-01-12
TERM00223,S001,2025-09-18
TERM00224,S001,2025-08-28
TERM00225,S001,2025-05-29
TERM00226,S001,2025-07-13
TERM00227,S001,2025-08-10
TERM00228,S002,2025-10-11
TERM00229,S002,2025-09-29
TERM00230,S002,2026-04-09
TERM00231,S001,2025-09-20
TERM00232,S001,2025-06-23
TERM00233,S001,2025-09-15
TERM00234,S001,2026-02-16
TERM00235,S001,2025-12-03
TERM00236,S002,2025-06-27
TERM00237,S001,2025-11-29
TERM00238,S002,2025-07-06
TERM00239,S002,2025-10-22
TERM00240,S001,2025-12-22
TERM00241,S002,2025-08-26
TERM00242,S001,2025-10-09
TERM00243,S001,2025-11-13
TERM00244,S001,2026-03-25
TERM00245,S001,2025-09-11
TERM00246,S001,2025-10-20
TERM00247,S001,2026-04-06
TERM00248,S001,2026-03-28
TERM00249,S001,2025-07-20
