terminal_id,terminal_addr,area_id,term_type,channel,install_date,scenario_seed
TERM00001,ADDR1001,AREA0041,I型集中器,GPRS,2024-03-04,
TERM00002,ADDR1002,AREA0008,I型集中器,4G,2023-01-20,
TERM00003,ADDR1003,AREA0002,I型集中器,4G,2024-04-02,
TERM00004,ADDR1004,AREA0048,I型集中器,GPRS,2022-04-22,
TERM00005,ADDR1005,AREA0018,I型集中器,4G,2022-11-19,
TERM00006,ADDR1006,AREA0016,I型集中器,4G,2024-01-14,
TERM00007,ADDR1007,AREA0015,I型集中器,4G,2023-11-15,
TERM00008,ADDR1008,AREA0009,I型集中器,4G,2024-02-12,
TERM00009,ADDR1009,AREA0048,I型集中器,4G,2021-08-04,
TERM00010,ADDR1010,AREA0007,I型集中器,光纤,2025-11-16,SC-08
TERM00011,ADDR1011,AREA0044,专变终端,4G,2024-01-22,
TERM00012,ADDR1012,AREA0048,专变终端,4G,2024-12-31,
TERM00013,ADDR1013,AREA0035,II型集中器,4G,2022-09-08,
TERM00014,ADDR1014,AREA0006,I型集中器,光纤,2024-12-20,
TERM00015,ADDR1015,AREA0038,I型集中器,GPRS,2022-10-05,
TERM00016,ADDR1016,AREA0028,I型集中器,GPRS,2024-10-20,
TERM00017,ADDR1017,AREA0003,II型集中器,4G,2023-11-20,
TERM00018,ADDR1018,AREA0002,I型集中器,4G,2022-10-09,
TERM00019,ADDR1019,AREA0006,I型集中器,4G,2023-03-21,
TERM00020,ADDR1020,AREA0014,I型集中器,GPRS,2025-11-22,
TERM00021,ADDR1021,AREA0015,I型集中器,4G,2023-01-23,
TERM00022,ADDR1022,AREA0033,I型集中器,4G,2025-08-06,
TERM00023,ADDR1023,AREA0039,I型集中器,光纤,2021-06-11,
TERM00024,ADDR1024,AREA0002,I型集中器,4G,2023-06-14,
TERM00025,ADDR1025,AREA0036,I型集中器,光纤,2024-04-02,
TERM00026,ADDR1026,AREA0013,II型集中器,GPRS,2023-12-09,
TERM00027,ADDR1027,AREA0046,I型集中器,4G,2024-02-21,
TERM00028,ADDR1028,AREA0042,I型集中器,4G,2021-09-12,
TERM00029,ADDR1029,AREA0045,I型集中器,4G,2023-08-18,
TERM00030,ADDR1030,AREA0035,I型集中器,GPRS,2023-10-01,
TERM00031,ADDR1031,AREA0027,II型集中器,4G,2023-08-22,
TERM00032,ADDR1032,AREA0015,I型集中器,GPRS,2025-08-14,
TERM00033,ADDR1033,AREA0029,I型集中器,GPRS,2025-02-09,
TERM00034,ADDR1034,AREA0038,II型集中器,4G,2023-01-25,
TERM00035,ADDR1035,AREA0018,I型集中器,光纤,2021-07-07,
TERM00036,ADDR1036,AREA0001,I型集中器,4G,2025-03-05,
TERM00037,ADDR1037,AREA0049,I型集中器,4G,2024-01-18,
TERM00038,ADDR1038,AREA0011,I型集中器,光纤,2022-05-03,
TERM00039,ADDR1039,AREA0045,I型集中器,4G,2021-11-09,
TERM00040,ADDR1040,AREA0028,专变终端,GPRS,2025-01-18,
TERM00041,ADDR1041,AREA0022,I型集中器,4G,2021-07-17,
TERM00042,ADDR1042,AREA0018,II型集中器,4G,2021-06-06,
TERM00043,ADDR1043,AREA0010,II型集中器,4G,2025-09-26,
TERM00044,ADDR1044,AREA0014,I型集中器,4G,2023-10-04,
TERM00045,ADDR1045,AREA0049,I型集中器,4G,2021-12-14,
