user_id,risk_level,risk_reason
USR00001,低,
USR00002,低,
USR00003,低,
USR00004,低,
USR00005,低,
USR00006,低,
USR00007,低,
USR00008,低,
USR00009,低,
USR00010,低,
USR00011,低,
USR00012,低,
USR00013,低,
USR00014,低,
USR00015,低,
USR00016,低,
USR00017,低,
USR00018,低,
USR00019,低,
USR00020,低,
USR00021,低,
USR00022,低,
USR00023,低,
USR00024,低,
USR00025,低,
USR00026,低,
USR00027,低,
USR00028,低,
USR00029,低,
USR00030,低,
USR00031,低,
USR00032,低,
USR00033,低,
USR00034,低,
USR00035,低,
USR00036,低,
USR00037,低,
USR00038,低,
USR00039,低,
USR00040,低,
USR00041,低,
USR00042,低,
USR00043,低,
USR00044,低,
USR00045,低,
USR00046,低,
USR00047,低,
USR00048,低,
USR00049,低,
USR00050,低,
USR00051,低,
USR00052,低,
USR00053,低,
USR00054,低,
USR00055,低,
USR00056,低,
USR00057,低,
USR00058,低,
USR00059,低,
USR00060,低,
USR00061,低,
USR00062,低,
USR00063,低,
USR00064,低,
USR00065,低,
USR00066,低,
USR00067,低,
USR00068,低,
USR00069,低,
USR00070,低,
USR00071,低,
USR00072,低,
USR00073,高,近一年投诉≥3次 / 工单未结
USR00074,低,
USR00075,低,
USR00076,低,
USR00077,低,
USR00078,低,
USR00079,低,
USR00080,低,
USR00081,低,
USR00082,低,
USR00083,低,
USR00084,低,
USR00085,低,
USR00086,低,
USR00087,低,
USR00088,低,
USR00089,低,
USR00090,低,
USR00091,低,
USR00092,低,
USR00093,低,
USR00094,低,
USR00095,低,
USR00096,低,
USR00097,低,
USR00098,低,
USR00099,低,
USR00100,低,
USR00101,低,
USR00102,低,
USR00103,低,
USR00104,低,
USR00105,低,
USR00106,高,近一年投诉≥3次 / 工单未结
USR00107,低,
USR00108,低,
USR00109,低,
USR00110,低,
USR00111,低,
USR00112,低,
USR00113,低,
USR00114,低,
USR00115,低,
USR00116,低,
USR00117,低,
USR00118,低,
USR00119,低,
USR00120,低,
USR00121,低,
USR00122,低,
USR00123,低,
USR00124,低,
USR00125,低,
USR00126,低,
USR00127,低,
USR00128,低,
USR00129,低,
USR00130,低,
USR00131,低,
USR00132,高,近一年投诉≥3次 / 工单未结
USR00133,低,
USR00134,低,
USR00135,低,
USR00136,低,
USR00137,低,
USR00138,低,
USR00139,低,
USR00140,低,
USR00141,低,
USR00142,低,
USR00143,低,
USR00144,低,
USR00145,低,
USR00146,低,
USR00147,低,
USR00148,低,
USR00149,高,近一年投诉≥3次 / 工单未结
USR00150,低,
USR00151,低,
USR00152,低,
USR00153,低,
USR00154,低,
USR00155,低,
USR00156,低,
USR00157,低,
USR00158,低,
USR00159,低,
USR00160,低,
USR00161,低,
USR00162,低,
USR00163,低,
USR00164,低,
USR00165,低,
USR00166,低,
USR00167,高,近一年投诉≥3次 / 工单未结
USR00168,低,
USR00169,低,
USR00170,低,
USR00171,低,
USR00172,低,
USR00173,低,
USR00174,低,
USR00175,低,
USR00176,低,
USR00177,低,
USR00178,低,
USR00179,低,
USR00180,低,
USR00181,低,
USR00182,低,
USR00183,高,近一年投诉≥3次 / 工单未结
USR00184,低,
USR00185,低,
USR00186,高,近一年投诉≥3次 / 工单未结
USR00187,低,
USR00188,低,
USR00189,低,
USR00190,低,
USR00191,低,
USR00192,低,
USR00193,低,
USR00194,低,
USR00195,低,
USR00196,低,
USR00197,低,
USR00198,低,
USR00199,低,
USR00200,低,
USR00201,低,
USR00202,低,
USR00203,低,
USR00204,低,
USR00205,低,
USR00206,低,
USR00207,低,
USR00208,低,
USR00209,低,
USR00210,低,
USR00211,低,
USR00212,低,
USR00213,低,
USR00214,低,
USR00215,低,
USR00216,低,
USR00217,低,
USR00218,低,
USR00219,低,
USR00220,低,
USR00221,低,
USR00222,低,
USR00223,低,
USR00224,低,
USR00225,低,
USR00226,低,
USR00227,低,
USR00228,低,
USR00229,低,
USR00230,低,
USR00231,低,
USR00232,低,
USR00233,低,
USR00234,低,
USR00235,低,
USR00236,低,
USR00237,低,
USR00238,低,
USR00239,低,
USR00240,低,
USR00241,低,
USR00242,低,
USR00243,低,
USR00244,低,
USR00245,低,
USR00246,低,
USR00247,低,
USR00248,低,
USR00249,低,
USR00250,低,
USR00251,低,
USR00252,低,
USR00253,低,
USR00254,低,
USR00255,低,
USR00256,低,
USR00257,低,
USR00258,低,
USR00259,低,
USR00260,低,
USR00261,低,
USR00262,低,
USR00263,低,
USR00264,低,
USR00265,低,
USR00266,高,近一年投诉≥3次 / 工单未结
USR00267,低,
USR00268,低,
USR00269,低,
USR00270,低,
USR00271,低,
USR00272,低,
USR00273,低,
USR00274,低,
USR00275,低,
USR00276,低,
USR00277,低,
USR00278,低,
USR00279,低,
USR00280,低,
USR00281,低,
USR00282,低,
USR00283,低,
USR00284,低,
USR00285,低,
USR00286,低,
USR00287,低,
USR00288,低,
USR00289,低,
USR00290,低,
USR00291,低,
USR00292,低,
USR00293,低,
USR00294,低,
USR00295,低,
USR00296,低,
USR00297,低,
USR00298,低,
USR00299,高,近一年投诉≥3次 / 工单未结
USR00300,低,
USR00301,低,
USR00302,低,
USR00303,低,
USR00304,低,
USR00305,低,
USR00306,低,
USR00307,低,
USR00308,低,
USR00309,低,
USR00310,低,
USR00311,低,
USR00312,低,
USR00313,低,
USR00314,低,
USR00315,低,
USR00316,低,
USR00317,低,
USR00318,低,
USR00319,低,
USR00320,低,
USR00321,低,
USR00322,低,
USR00323,低,
USR00324,低,
USR00325,低,
USR00326,低,
USR00327,低,
USR00328,低,
USR00329,低,
USR00330,低,
USR00331,低,
USR00332,低,
USR00333,低,
USR00334,低,
USR00335,低,
USR00336,低,
USR00337,低,
USR00338,低,
USR00339,低,
USR00340,低,
USR00341,低,
USR00342,低,
USR00343,低,
USR00344,低,
USR00345,低,
USR00346,低,
USR00347,低,
USR00348,低,
USR00349,低,
USR00350,低,
USR00351,低,
USR00352,低,
USR00353,低,
USR00354,低,
USR00355,低,
USR00356,低,
USR00357,低,
