user_id,user_name,user_type,terminal_id,area_id,scenario_seed
USR00001,模拟用户1,居民,TERM00010,AREA0007,SC-06
USR00002,模拟用户2,居民,TERM00247,AREA0029,SC-06
USR00003,模拟用户3,居民,TERM00144,AREA0009,SC-06
USR00004,模拟用户4,工商业,TERM00259,AREA0001,
USR00005,模拟用户5,居民,TERM00052,AREA0023,SC-06
USR00006,模拟用户6,工商业,TERM00048,AREA0006,
USR00007,模拟用户7,居民,TERM00244,AREA0024,SC-06
USR00008,模拟用户8,工商业,TERM00263,AREA0004,
USR00009,模拟用户9,居民,TERM00282,AREA0031,SC-06
USR00010,模拟用户10,居民,TERM00178,AREA0028,SC-05
USR00011,模拟用户11,工商业,TERM00110,AREA0050,
USR00012,模拟用户12,居民,TERM00084,AREA0011,SC-06
USR00013,模拟用户13,居民,TERM00284,AREA0013,SC-06
USR00014,模拟用户14,光伏,TERM00211,AREA0016,SC-01
USR00015,模拟用户15,工商业,TERM00147,AREA0006,
USR00016,模拟用户16,居民,TERM00213,AREA0016,SC-06
USR00017,模拟用户17,居民,TERM00121,AREA0046,SC-06
USR00018,模拟用户18,居民,TERM00021,AREA0015,SC-06
USR00019,模拟用户19,三相工业,TERM00275,AREA0035,SC-04
USR00020,模拟用户20,居民,TERM00137,AREA0048,SC-06
USR00021,模拟用户21,工商业,TERM00107,AREA0015,
USR00022,模拟用户22,光伏,TERM00219,AREA0005,SC-01
USR00023,模拟用户23,居民,TERM00077,AREA0015,SC-06
USR00024,模拟用户24,工商业,TERM00186,AREA0049,
USR00025,模拟用户25,工商业,TERM00216,AREA0006,
USR00026,模拟用户26,居民,TERM00133,AREA0048,SC-06
USR00027,模拟用户27,三相工业,TERM00005,AREA0018,SC-04
USR00028,模拟用户28,光伏,TERM00225,AREA0043,SC-01
USR00029,模拟用户29,居民,TERM00010,AREA0007,SC-06
USR00030,模拟用户30,居民,TERM00055,AREA0003,SC-06
USR00031,模拟用户31,居民,TERM00100,AREA0011,SC-06
USR00032,模拟用户32,三相工业,TERM00035,AREA0018,SC-04
USR00033,模拟用户33,工商业,TERM00116,AREA0026,
USR00034,模拟用户34,光伏,TERM00284,AREA0013,SC-01
USR00035,模拟用户35,居民,TERM00214,AREA0037,SC-06
USR00036,模拟用户36,工商业,TERM00038,AREA0011,
USR00037,模拟用户37,居民,TERM00277,AREA0047,SC-06
USR00038,模拟用户38,工商业,TERM00061,AREA0006,
USR00039,模拟用户39,居民,TERM00073,AREA0015,SC-06
USR00040,模拟用户40,居民,TERM00271,AREA0018,
USR00041,模拟用户41,居民,TERM00076,AREA0006,
USR00042,模拟用户42,居民,TERM00108,AREA0044,
USR00043,模拟用户43,工商业,TERM00210,AREA0020,
USR00044,模拟用户44,居民,TERM00289,AREA0023,
USR00045,模拟用户45,居民,TERM00130,AREA0017,
USR00046,模拟用户46,居民,TERM00049,AREA0025,
USR00047,模拟用户47,光伏,TERM00225,AREA0043,SC-01
USR00048,模拟用户48,居民,TERM00252,AREA0022,
USR00049,模拟用户49,居民,TERM00127,AREA0042,
USR00050,模拟用户50,居民,TERM00202,AREA0034,
USR00051,模拟用户51,居民,TERM00176,AREA0008,
USR00052,模拟用户52,居民,TERM00137,AREA0048,
USR00053,模拟用户53,三相工业,TERM00254,AREA0038,SC-04
USR00054,模拟用户54,工商业,TERM00088,AREA0043,
USR00055,模拟用户55,居民,TERM00161,AREA0030,
USR00056,模拟用户56,居民,TERM00149,AREA0004,
USR00057,模拟用户57,工商业,TERM00084,AREA0011,
USR00058,模拟用户58,光伏,TERM00044,AREA0014,SC-01
USR00059,模拟用户59,三相工业,TERM00226,AREA0031,SC-04
USR00060,模拟用户60,三相工业,TERM00218,AREA0032,SC-04
USR00061,模拟用户61,居民,TERM00176,AREA0008,
USR00062,模拟用户62,居民,TERM00024,AREA0002,
USR00063,模拟用户63,居民,TERM00078,AREA0007,
USR00064,模拟用户64,居民,TERM00069,AREA0046,SC-14
USR00065,模拟用户65,工商业,TERM00210,AREA0020,
USR00066,模拟用户66,居民,TERM00256,AREA0015,
USR00067,模拟用户67,居民,TERM00091,AREA0044,
USR00068,模拟用户68,居民,TERM00014,AREA0006,
USR00069,模拟用户69,居民,TERM00094,AREA0039,SC-03
USR00070,模拟用户70,工商业,TERM00164,AREA0036,
USR00071,模拟用户71,居民,TERM00036,AREA0001,SC-14
USR00072,模拟用户72,居民,TERM00152,AREA0041,
USR00073,模拟用户73,工商业,TERM00085,AREA0024,SC-17
USR00074,模拟用户74,居民,TERM00100,AREA0011,SC-02
USR00075,模拟用户75,居民,TERM00261,AREA0046,
USR00076,模拟用户76,光伏,TERM00213,AREA0016,SC-01
USR00077,模拟用户77,居民,TERM00011,AREA0044,SC-12
USR00078,模拟用户78,工商业,TERM00242,AREA0043,SC-15
USR00079,模拟用户79,居民,TERM00273,AREA0032,
USR00080,模拟用户80,居民,TERM00272,AREA0043,
USR00081,模拟用户81,工商业,TERM00024,AREA0002,
USR00082,模拟用户82,光伏,TERM00061,AREA0006,SC-01
USR00083,模拟用户83,居民,TERM00178,AREA0028,
USR00084,模拟用户84,居民,TERM00045,AREA0049,
USR00085,模拟用户85,居民,TERM00030,AREA0035,SC-05
USR00086,模拟用户86,居民,TERM00231,AREA0039,
USR00087,模拟用户87,光伏,TERM00089,AREA0018,SC-01
USR00088,模拟用户88,工商业,TERM00283,AREA0027,
USR00089,模拟用户89,居民,TERM00122,AREA0021,
USR00090,模拟用户90,居民,TERM00101,AREA0030,
USR00091,模拟用户91,居民,TERM00043,AREA0010,
USR00092,模拟用户92,居民,TERM00036,AREA0001,
USR00093,模拟用户93,三相工业,TERM00221,AREA0035,SC-04
USR00094,模拟用户94,居民,TERM00225,AREA0043,SC-15
USR00095,模拟用户95,居民,TERM00275,AREA0035,
USR00096,模拟用户96,居民,TERM00261,AREA0046,
USR00097,模拟用户97,居民,TERM00156,AREA0039,
USR00098,模拟用户98,居民,TERM00127,AREA0042,
USR00099,模拟用户99,三相工业,TERM00057,AREA0030,SC-04
USR00100,模拟用户100,居民,TERM00223,AREA0009,
USR00101,模拟用户101,居民,TERM00055,AREA0003,
USR00102,模拟用户102,居民,TERM00193,AREA0033,SC-13
USR00103,模拟用户103,居民,TERM00053,AREA0039,
USR00104,模拟用户104,三相工业,TERM00083,AREA0024,
USR00105,模拟用户105,工商业,TERM00116,AREA0026,SC-02
USR00106,模拟用户106,居民,TERM00132,AREA0016,
USR00107,模拟用户107,三相工业,TERM00089,AREA0018,
USR00108,模拟用户108,居民,TERM00262,AREA0041,
USR00109,模拟用户109,居民,TERM00159,AREA0025,
USR00110,模拟用户110,工商业,TERM00155,AREA0028,
USR00111,模拟用户111,工商业,TERM00248,AREA0008,
USR00112,模拟用户112,工商业,TERM00098,AREA0047,
USR00113,模拟用户113,三相工业,TERM00005,AREA0018,
USR00114,模拟用户114,居民,TERM00085,AREA0024,
USR00115,模拟用户115,居民,TERM00224,AREA0009,
USR00116,模拟用户116,三相工业,TERM00174,AREA0042,
USR00117,模拟用户117,居民,TERM00108,AREA0044,
USR00118,模拟用户118,居民,TERM00045,AREA0049,
USR00119,模拟用户119,居民,TERM00258,AREA0015,
USR00120,模拟用户120,工商业,TERM00047,AREA0007,
USR00121,模拟用户121,三相工业,TERM00154,AREA0044,
USR00122,模拟用户122,居民,TERM00228,AREA0011,
USR00123,模拟用户123,居民,TERM00200,AREA0035,
USR00124,模拟用户124,工商业,TERM00125,AREA0032,
USR00125,模拟用户125,居民,TERM00063,AREA0019,SC-03
USR00126,模拟用户126,三相工业,TERM00077,AREA0015,
USR00127,模拟用户127,居民,TERM00273,AREA0032,
USR00128,模拟用户128,工商业,TERM00210,AREA0020,
USR00129,模拟用户129,居民,TERM00072,AREA0043,
USR00130,模拟用户130,居民,TERM00057,AREA0030,
USR00131,模拟用户131,工商业,TERM00192,AREA0041,
USR00132,模拟用户132,三相工业,TERM00200,AREA0035,SC-17
USR00133,模拟用户133,工商业,TERM00062,AREA0036,
USR00134,模拟用户134,居民,TERM00004,AREA0048,
USR00135,模拟用户135,居民,TERM00156,AREA0039,
USR00136,模拟用户136,工商业,TERM00126,AREA0026,
USR00137,模拟用户137,居民,TERM00128,AREA0030,
USR00138,模拟用户138,工商业,TERM00295,AREA0044,
USR00139,模拟用户139,三相工业,TERM00120,AREA0037,
USR00140,模拟用户140,居民,TERM00136,AREA0017,
USR00141,模拟用户141,居民,TERM00019,AREA0006,
USR00142,模拟用户142,居民,TERM00014,AREA0006,
USR00143,模拟用户143,居民,TERM00125,AREA0032,
USR00144,模拟用户144,居民,TERM00109,AREA0021,
USR00145,模拟用户145,工商业,TERM00082,AREA0041,
USR00146,模拟用户146,工商业,TERM00151,AREA0010,
USR00147,模拟用户147,居民,TERM00238,AREA0013,
USR00148,模拟用户148,居民,TERM00130,AREA0017,
USR00149,模拟用户149,光伏,TERM00061,AREA0006,SC-01
USR00150,模拟用户150,居民,TERM00292,AREA0030,
USR00151,模拟用户151,居民,TERM00042,AREA0018,
USR00152,模拟用户152,居民,TERM00261,AREA0046,
USR00153,模拟用户153,居民,TERM00201,AREA0050,
USR00154,模拟用户154,工商业,TERM00065,AREA0040,
USR00155,模拟用户155,居民,TERM00021,AREA0015,
USR00156,模拟用户156,居民,TERM00198,AREA0049,SC-02
USR00157,模拟用户157,三相工业,TERM00087,AREA0014,
USR00158,模拟用户158,工商业,TERM00157,AREA0005,
USR00159,模拟用户159,工商业,TERM00151,AREA0010,
USR00160,模拟用户160,居民,TERM00011,AREA0044,
USR00161,模拟用户161,居民,TERM00133,AREA0048,
USR00162,模拟用户162,工商业,TERM00151,AREA0010,
USR00163,模拟用户163,居民,TERM00295,AREA0044,
USR00164,模拟用户164,光伏,TERM00122,AREA0021,
USR00165,模拟用户165,居民,TERM00218,AREA0032,
USR00166,模拟用户166,三相工业,TERM00256,AREA0015,
USR00167,模拟用户167,居民,TERM00042,AREA0018,
USR00168,模拟用户168,居民,TERM00049,AREA0025,
USR00169,模拟用户169,工商业,TERM00065,AREA0040,
USR00170,模拟用户170,居民,TERM00284,AREA0013,
USR00171,模拟用户171,三相工业,TERM00287,AREA0043,
USR00172,模拟用户172,三相工业,TERM00056,AREA0047,
USR00173,模拟用户173,三相工业,TERM00160,AREA0039,
USR00174,模拟用户174,工商业,TERM00011,AREA0044,SC-13
USR00175,模拟用户175,工商业,TERM00216,AREA0006,
USR00176,模拟用户176,居民,TERM00100,AREA0011,
USR00177,模拟用户177,居民,TERM00020,AREA0014,
USR00178,模拟用户178,工商业,TERM00101,AREA0030,
USR00179,模拟用户179,居民,TERM00285,AREA0007,
USR00180,模拟用户180,居民,TERM00162,AREA0034,
USR00181,模拟用户181,居民,TERM00109,AREA0021,
USR00182,模拟用户182,工商业,TERM00051,AREA0023,
USR00183,模拟用户183,居民,TERM00118,AREA0005,SC-17
USR00184,模拟用户184,居民,TERM00252,AREA0022,
USR00185,模拟用户185,工商业,TERM00208,AREA0008,
USR00186,模拟用户186,工商业,TERM00200,AREA0035,SC-15
USR00187,模拟用户187,工商业,TERM00150,AREA0008,
