MFR,meter_id,RUN_STATUS,RUN_YEARS,COMM_TIME_LOC,COMM_TIME_DIST,CPU_RATE,CPU_RATE_AVG,DISK_RATE,DISK_RATE_AVG,TEMP_ERR_RATE,ONLINE_DUR,ONLINE_TIME,SIG_STR,ONOFF_NUM,ONOFF_30D_NUM,OFFSET_TIME,FLOW_STAT,METER_NET_RATE,CUST_NUM_FLAG,COLL_FAIL_RATE_7D,METER_FAIL_RATE,POWEROFF_NUM_30D,TASK_SUCC_RATE,,is_removed
鼎信,TERM_00001,1,7.8382948592780615,101.29699115303724,80.37197220524291,68.52077439900233,60.07461153832568,66.40761054324065,54.83958888691573,0.1684507410533742,0,0,-130,405,66,553.2132886900471,0.16969683940398977,0.20893833841484072,1,0.30125150382705257,0.20664204404906142,32,0.6872033428720108,0,1
华为,TERM_00002,0,1.162067345147807,4.738443420625828,54.12979439539907,17.97404000079247,14.311477044461684,21.14240358584975,28.434266500851443,0,8603.953522904158,57648.621058274395,-52.51374806,0,5,47.55405790782298,0.8409696498504412,0.06354538254100606,0,0.08292394911786939,0.021232428139303317,5,1,0,0
威胜,TERM_00003,0,8.307106220480023,72.89804826197762,50.750279916152955,61.360415930251776,59.15641394745615,89.19216821831813,81.34011296308485,0.11076334411065478,1410.426272905731,6603.628342744119,-110.4546287,268,71,429.6486476982738,0.3385776605341535,0.2154271768539755,1,0.24750743650263818,0.15703144978953373,28,0.6144787000927611,1,1
中兴,TERM_00004,0,3.6690641692728967,49.47394325272582,67.03795816187636,26.525755383378662,16.255320984232654,33.260418960118564,12.302674432461785,0.04760356097467705,7078.932698877493,56490.62050674773,-62.92093622,88,22,152.73765262121324,0.726875553335011,0.0832597939462393,0,0.1340483426373861,0.07259502051490081,6,0.8521159560104351,0,0
威胜,TERM_00005,0,4.830013379328345,72.21606382620794,62.02963110088648,38.12241155368737,34.743598060019096,54.33129766107715,35.67711667551002,0.042249792490150664,3059.6581305569134,27572.17185732371,-104.870798,241,56,292.0597685542833,0.5457543675543307,0.12390030445659347,0,0.2210714146261778,0.1070625416478988,19,0.7370228886366454,0,0
威胜,TERM_00006,0,1.725366054744919,53.10980071990231,8.923394367181945,15.874484517465428,15.603130080716593,45.42480531210778,42.3752657712194,0.05472068342045765,5629.349501057496,51920.59799766686,-69.80689758,155,13,121.14912350650003,0.7047410849137656,0.09978566966236108,0,0,0.16125294613716676,17,0.8887286727118133,0,0
中兴,TERM_00007,0,3.0071163464697563,49.19742315676173,2.154972027479827,30.373327082565197,28.713331452272314,43.34512555349574,30.70644358162514,0.05503814695993276,5471.965518964225,53317.13185167902,-80.77093283,153,24,208.8669448027053,0.5892407894496127,0.0653234100643134,0,0.09902570365541433,0.05057195124089626,17,0.7895495043947718,0,0
林洋,TERM_00008,1,5.42541294042241,78.90697294760227,126.52553308691387,60.66804864557126,53.36889083524811,68.44647320939319,63.769183964692814,0.09015544362778904,195.78385568545437,6806.64436520159,-123.689474,381,85,444.75373211920925,0,0.22051294470629704,0,0.17617935035557153,0.1202170676028049,37,0.5663000610021942,0,1
华为,TERM_00009,0,2.2443175572607905,21.752261401326116,1,22.310104205798492,15.46800024148861,28.13278180413716,14.164299068419597,0.02112968831314028,7942.903571414609,70558.71932318456,-61.77600516,0,2,14.581811000686315,0.8741631144884093,0.02575049648074742,0,0,0.03552633168014458,3,0.9514730052780199,0,0
威胜,TERM_00010,0,5.096411421781738,77.77196324589143,87.86109730477045,57.502485018708924,46.0146443710063,70.80501705091751,67.6352645376197,0.13600692572805273,923.6195586869975,11009.89032327125,-107.1667841,315,76,396.69591419585413,0.2286738106261049,0.20250093390326818,0,0.18849548350580653,0.16941772621188092,34,0.6687162118982299,0,0
华为,TERM_00011,1,7.353083380177507,90.72606053246736,108.64684045825223,68.29600688882007,71.99762670090573,68.32758866388843,66.71323992778262,0.14974019868596886,486.53629273272514,11197.010630963514,-117.5592248,282,81,501.78349553597127,0.2623564525254686,0.1786361854411665,1,0.2237374463192017,0.20855544484822766,29,0.6578827398779786,0,1
威胜,TERM_00012,0,8.790530392377098,60.72809073627502,68.33080030098586,51.79851640269284,49.16866404348937,69.80696865324911,65.86198775251596,0.13562148902339602,1971.6968498860479,21430.196549423206,-113.4330387,296,57,406.21872510865114,0.28569373476439536,0.2139664900319955,1,0.2580593143467743,0.07637296903056247,33,0.639649128042376,1,1
威胜,TERM_00013,0,3.9744987585344793,18.06007753813171,23.357157798161666,21.712172476609688,8.651003481060005,50.72299487864983,41.544991210474,0.02183968112599493,8728.081858180594,72917.56938295075,-52.77693394,40,0,64.22325621775758,0.9391940968344747,0.06203517628315564,0,0,0,2,0.929517605846871,0,0
中兴,TERM_00014,0,2.4619200251503237,24.62389846447099,48.66093293672347,32.30530979945846,33.43854045805405,35.164668863720436,35.436041449760324,0.04381238863563234,7180.339644980315,64521.48571815089,-50.88813142,0,0,72.19652250800677,0.9442663378722288,0.04669336569531938,0,0.055880196998888215,0.021953586951659804,0,0.9590898310033371,0,0
华为,TERM_00015,0,5.051593823102515,23.492585762540685,70.84817240006775,43.06292939872485,41.35567216737707,61.29744478821727,53.90126384031373,0.05587595510644125,4025.7882902115284,28751.4152043227,-91.42528901,204,49,251.0115898147707,0.5828656412434657,0.1243907797748907,0,0.21057804592806817,0.1418236196478817,19,0.7613309347558233,0,0
华为,TERM_00016,0,8.004295140984151,69.63987708388731,50.947965530894315,33.84462683655611,34.81609968765642,68.93960415383408,62.809466794978675,0.04239980645947393,4459.13275995506,40934.275298720335,-84.84519692,208,43,290.54894960916323,0.46844207910070207,0.1670433253589619,0,0.14064659267155377,0.06103770424715285,18,0.68028913406213,1,1
中兴,TERM_00017,0,6.591634766193368,66.91607951558768,75.75447699209128,41.22628587812442,33.433258233933174,55.99324300374457,47.93506419036925,0.06407203203233282,3040.644754670735,30396.73563055633,-97.55564195,280,60,270.723773054548,0.5622473081207554,0.19935060808735922,0,0.2477954791798489,0.14777288302974956,24,0.808967077605115,0,0
华为,TERM_00018,0,1.5240116831462174,24.163199074601643,39.56328922938671,5,3,42.002700509625896,35.39520342150947,0,8622.123223040957,69298.73308503172,-45,9,4,28.281998180069376,0.8574166776858926,0.01065137838203438,0,0,0.013098591265880363,5,0.9448664497061734,0,0
林洋,TERM_00019,0,2.554784739205956,43.69536100825318,47.09212157645065,30.46484725679609,21.401611977350836,46.06108499933048,52.288578509314,0.13351429595520925,5757.387469795702,37688.332155432305,-84.07190107,197,38,207.0993181602366,0.6472640739441131,0.09223116111942663,0,0.09480240313121714,0.10557945030966777,11,0.789536532904744,0,0
鼎信,TERM_00020,0,5.852486962652086,66.8466555460118,95.3218864696876,28.22196202901554,33.807869728964405,65.99857030756777,60.96886266679628,0.06200642847644053,3765.889866157907,26339.223251717754,-84.72340873,200,52,258.5730840106992,0.40538401863389273,0.15751656052721705,0,0.21131200374894687,0.11705933424733658,28,0.8860979114516154,0,0
中兴,TERM_00021,0,3.5796894812399773,11.437657235264748,23.541989975921013,25.046034716236687,17.541081732186967,31.9602895510602,19.34252897928667,0.002179961420807945,8314.209987789885,70385.24817202656,-49.29867784,0,5,73.26458767279132,0.9240418761884623,0,0,0.015220859869326184,0.0295352448190513,0,1,0,0
林洋,TERM_00022,0,4.281616478260691,47.55054692856311,33.33464358119838,51.219533465300024,41.44347441680156,60.867014258122516,50.111513075514864,0.0783162112571505,4051.9627430618484,33679.65525395104,-95.10862965,204,42,285.777272570516,0.39234994849085153,0.04086652096460641,0,0.13880626962913567,0.11620240255354448,16,0.8091351001790452,0,0
